time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.0,0.0,1.4103620514541898e-08,3.660943020037373e-08,5.870092557980035e-08,7.794366402543071e-08,9.320683985510084e-08,1.0382275099385364e-07,1.0967099529022247e-07
0.01,-8.2649387e-12,1.512999778020586e-08,3.926232104427272e-08,6.29497567948734e-08,8.358272856696041e-08,9.994860863001064e-08,1.1133147867778043e-07,1.176022357307628e-07
0.02,-3.2991279e-11,1.6127400321952146e-08,4.184671687587273e-08,6.708794406023873e-08,8.907493180631236e-08,1.0651472533543903e-07,1.1864453268799144e-07,1.25326771816682e-07
0.03,-7.4076921e-11,1.709080163909113e-08,4.435892642385846e-08,7.110925997113351e-08,9.441213400845365e-08,1.1289558097423937e-07,1.2575126158749728e-07,1.3283338099839208e-07
0.04,-1.3181611e-10,1.801542195025104e-08,4.679561223459099e-08,7.500848456881852e-08,9.958704310596906e-08,1.1908250775469915e-07,1.326419868424035e-07,1.4011183346328613e-07
0.05,-2.0650492e-10,1.889648781709673e-08,4.915250705165287e-08,7.878051610011653e-08,1.045923053913801e-07,1.2506683814301856e-07,1.3930707735903146e-07,1.471519637647977e-07
0.06,-2.9853777999999997e-10,1.9730173148664835e-08,5.142472067812027e-08,8.242074719425126e-08,1.0942104305483933e-07,1.3084035656933475e-07,1.4573742625026654e-07,1.5394414498316034e-07
0.07,-4.0849220999999997e-10,2.0513767574540105e-08,5.360678759149043e-08,8.592478438872758e-08,1.1406689024922703e-07,1.3639522726361148e-07,1.5192439367553758e-07,1.604792343794801e-07
0.08,-5.3581765e-10,2.1245260165931855e-08,5.5692671039223573e-08,8.928783267249348e-08,1.1852374528726799e-07,1.417236822099538e-07,1.5785947745735726e-07,1.667482577151882e-07
0.09,-6.802642000000001e-10,2.192361234964103e-08,5.767659138449948e-08,9.250484786548861e-08,1.2278618268406433e-07,1.4681847604955163e-07,1.635347039996689e-07,1.72742823342497e-07
0.1,-8.4217093e-10,2.2548014527052797e-08,5.9553064525312104e-08,9.557001848344212e-08,1.268489797666296e-07,1.5167259205156764e-07,1.6894223637940563e-07,1.7845475358857275e-07
0.11,-1.024237e-09,2.3118193580691316e-08,6.131790750178741e-08,9.847749484477561e-08,1.307076159174912e-07,1.5628002726438644e-07,1.7407506312127245e-07,1.8387677877710647e-07
0.12,-1.2288275e-09,2.363402751556159e-08,6.296865570592294e-08,1.0122184673165792e-07,1.3435827796874675e-07,1.606361122072118e-07,1.7892727759832904e-07,1.890027868596896e-07
0.13,-1.4503447999999999e-09,2.409256934473087e-08,6.450152719332203e-08,1.0379549467168257e-07,1.3779468665870615e-07,1.647345696018485e-07,1.834911946716642e-07,1.9382486538235246e-07
0.14,-1.6871095999999999e-09,2.4492020678115134e-08,6.591400511874863e-08,1.0619222422435225e-07,1.4101102581860629e-07,1.68570499809478e-07,1.8776051626802799e-07,1.983363593432554e-07
0.15,-1.9457963e-09,2.483292276904344e-08,6.720556881435288e-08,1.0840855107071853e-07,1.4400304629608746e-07,1.7214128965798067e-07,1.917315248789006e-07,2.0253295556791772e-07
0.16,-2.2279088e-09,2.511460884732989e-08,6.837489504507459e-08,1.1044095759845025e-07,1.4676543680417816e-07,1.7544355936001908e-07,1.9540033860861514e-07,2.0640987265489204e-07
0.17,-2.5245344e-09,2.5334882841500132e-08,6.941926379073678e-08,1.1228529391933446e-07,1.4929156328167997e-07,1.7847239049940882e-07,1.987623572142391e-07,2.0996133476681234e-07
0.18,-2.825595e-09,2.5492284077214205e-08,7.033529845415549e-08,1.1393766696190082e-07,1.5157477946279612e-07,1.812221976954361e-07,2.0181317297310414e-07,2.131816337774526e-07
0.19,-3.1338504e-09,2.558944918062771e-08,7.112158881834566e-08,1.1539688416832196e-07,1.5361137882461194e-07,1.8368941552788747e-07,2.0455108285305543e-07,2.1606790768799264e-07
0.2,-3.4572451e-09,2.563016337924647e-08,7.177753654822677e-08,1.166623958151159e-07,1.5539907374809116e-07,1.8587094068284583e-07,2.069751652360863e-07,2.1861854733332526e-07
0.21,-3.7966875e-09,2.561557185914903e-08,7.230170063203953e-08,1.1773170408508612e-07,1.5693466873478722e-07,1.8776202762924164e-07,2.0908269193211093e-07,2.208309187245009e-07
0.22,-4.1505632e-09,2.5544354977996788e-08,7.269236733941045e-08,1.1860080909484045e-07,1.5821429969487972e-07,1.8935697603880786e-07,2.1086934487311784e-07,2.22701778644035e-07
0.23,-4.5297176e-09,2.5418542909704326e-08,7.295310981228939e-08,1.1927028757730205e-07,1.5923898440345077e-07,1.906551983070722e-07,2.1233498216566825e-07,2.2423304919605632e-07
0.24,-4.9362308e-09,2.523629429414983e-08,7.308643575624372e-08,1.197394479323595e-07,1.600082110806329e-07,1.9165518538353174e-07,2.134775841263283e-07,2.2542554214838625e-07
0.25,-5.3565078e-09,2.4990058995436613e-08,7.309002906470123e-08,1.2000366150627488e-07,1.6051668448005984e-07,1.9235136630361433e-07,2.1429038582055e-07,2.2627566152169235e-07
0.26,-5.7973425e-09,2.468037159595191e-08,7.296741369150561e-08,1.2006635623059557e-07,1.6076605162690788e-07,1.9274565272570583e-07,2.147739354118792e-07,2.2678692026275855e-07
0.27,-6.2653846999999996e-09,2.4304623655234652e-08,7.271720144690795e-08,1.1992817633167303e-07,1.607544586377094e-07,1.9283652649958948e-07,2.1492577717065934e-07,2.2695909757325104e-07
0.28,-6.7722531e-09,2.3863078290723044e-08,7.233996084594389e-08,1.1959307360873768e-07,1.60483389761163e-07,1.9262534180630134e-07,2.147472048963948e-07,2.267946211456946e-07
0.29,-7.3171517e-09,2.335694311760628e-08,7.183832293128775e-08,1.1906725141059544e-07,1.5995743379688006e-07,1.9211575742733465e-07,2.1424282635727243e-07,2.2629802199918617e-07
0.3,-7.8560096e-09,2.2776243729323058e-08,7.120337925611092e-08,1.1834511525040369e-07,1.5917060458921294e-07,1.9130009602212755e-07,2.1340663851233871e-07,2.254621801813774e-07
0.31,-8.371723e-09,2.2125023105800813e-08,7.043380541460186e-08,1.1742933541660971e-07,1.5812628646038747e-07,1.9017973211477387e-07,2.1224181639212802e-07,2.242885091832557e-07
0.32,-8.8731181e-09,2.1414325883228343e-08,6.952952463703565e-08,1.163238043881074e-07,1.5683032596440476e-07,1.8875876314399932e-07,2.107536996402717e-07,2.2278043000631226e-07
0.33,-9.3728444e-09,2.0654800974847183e-08,6.848937695705177e-08,1.1502912676195821e-07,1.5528673855278784e-07,1.8704023615321698e-07,2.0894544262897356e-07,2.2093943895591664e-07
0.34,-9.8813208e-09,1.9856863906351137e-08,6.731671712227954e-08,1.1354642738482258e-07,1.5350138130140987e-07,1.8503026690378383e-07,2.068218392771782e-07,2.1876916724678333e-07
0.35000000000000003,-1.0391068e-08,1.9021857140446295e-08,6.601319716406588e-08,1.1187090421645598e-07,1.514746990875183e-07,1.8273110030160703e-07,2.0438246201072631e-07,2.1626850916486047e-07
0.36,-1.0909544e-08,1.815003777144329e-08,6.458516433196949e-08,1.1000014309891632e-07,1.4920866061980665e-07,1.8014814171058117e-07,2.0162917375314822e-07,2.1343889460904723e-07
0.37,-1.1472156e-08,1.723898249110951e-08,6.30413459958976e-08,1.0793418848732485e-07,1.4670555333101583e-07,1.7728845689521444e-07,1.9856545048048028e-07,2.102832284953032e-07
0.38,-1.2136259e-08,1.6287272877155592e-08,6.139871049196967e-08,1.0568315881217738e-07,1.4397490209435823e-07,1.7416695028054833e-07,1.952035401425671e-07,2.068126630085297e-07
0.39,-1.2903861e-08,1.527835550794592e-08,5.966830882537715e-08,1.0325451284665439e-07,1.4102059759061955e-07,1.707924459185428e-07,1.9155140065552074e-07,2.0303330540737495e-07
0.4,-1.3699379e-08,1.417982957276035e-08,5.784466950959933e-08,1.0064590829283488e-07,1.3783372407139272e-07,1.6715943723610087e-07,1.8760489828141337e-07,1.9893847249536387e-07
0.41000000000000003,-1.4470572e-08,1.2978803402311712e-08,5.592362619030978e-08,9.786720210873577e-08,1.3441529588365218e-07,1.6326987966284888e-07,1.833695356646703e-07,1.9453082666539318e-07
0.42,-1.5221109e-08,1.1680060922489639e-08,5.3894392474154484e-08,9.493150790236458e-08,1.3077002335160187e-07,1.5912612199469483e-07,1.788528048942179e-07,1.8981543554911878e-07
0.43,-1.6013938e-08,1.0303817367408318e-08,5.174653201357422e-08,9.185480371769317e-08,1.269100730780764e-07,1.547342425233574e-07,1.7406643624475643e-07,1.848028799372719e-07
0.44,-1.6917642e-08,8.87726595985841e-09,4.9482312343202834e-08,8.865778426206218e-08,1.2286062261343723e-07,1.5011020262136866e-07,1.6903105101157891e-07,1.795147180254043e-07
0.45,-1.7879613e-08,7.394551199619037e-09,4.709158464072886e-08,8.53337482890133e-08,1.1862833542380059e-07,1.4525036065450764e-07,1.6374498641341102e-07,1.739528061401517e-07
0.46,-1.8794488e-08,5.836121440077456e-09,4.456088220604494e-08,8.186076944419971e-08,1.1420969892121877e-07,1.4014307623187283e-07,1.5819454342389987e-07,1.68109464890433e-07
0.47000000000000003,-1.9666973e-08,4.217561852975943e-09,4.190620251731471e-08,7.824258405054258e-08,1.0962625952603027e-07,1.3480717579945688e-07,1.5239218917063701e-07,1.6200484895965816e-07
0.48,-2.0532731000000003e-08,2.560864746400108e-09,3.914644684377592e-08,7.448589798669287e-08,1.0489779003426781e-07,1.2926670777993352e-07,1.4635257473225538e-07,1.5566137523131286e-07
0.49,-2.1343555000000003e-08,8.733774224088242e-10,3.6286450943707626e-08,7.058478237168705e-08,1.000244547509602e-07,1.2353248128242288e-07,1.4007663328779287e-07,1.490857682872368e-07
0.5,-2.2001097e-08,-8.359004910055173e-10,3.3325822983633064e-08,6.653223187399728e-08,9.499778906412944e-08,1.1761064759768537e-07,1.3356333293809008e-07,1.4227887976435892e-07
0.51,-2.2454836000000002e-08,-2.5469923518892934e-09,3.025840117676699e-08,6.232128785294017e-08,8.98033551088303e-08,1.1150192504828519e-07,1.268117376005958e-07,1.352365768038566e-07
0.52,-2.2822067000000002e-08,-4.205701355981189e-09,2.7101877683285508e-08,5.797086167868057e-08,8.445045617281537e-08,1.0522785189455296e-07,1.198488275485638e-07,1.2797765658858766e-07
0.53,-2.3282103e-08,-5.7717522812004635e-09,2.3881545503483344e-08,5.349912092048524e-08,7.895031481503337e-08,9.880664567805391e-08,1.1270495619849006e-07,1.205208378486027e-07
0.54,-2.3946207999999998e-08,-7.252190368691477e-09,2.062486807247216e-08,4.8911076967947276e-08,7.33054454744663e-08,9.224255003590723e-08,1.0540063977516668e-07,1.1287427287394671e-07
0.55,-2.4823667e-08,-8.688774510198447e-09,1.7375433656211423e-08,4.4217747868100306e-08,6.752554662507007e-08,8.554414892682347e-08,9.796089538077906e-08,1.050531484522237e-07
0.56,-2.5768012e-08,-1.0167905873316219e-08,1.4153380734472965e-08,3.9413322988518367e-08,6.15979616243576e-08,7.869814607734621e-08,9.038504569653188e-08,9.705235669355171e-08
0.5700000000000001,-2.6640137e-08,-1.1762781089961203e-08,1.0960107625801101e-08,3.450133073196465e-08,5.550818537862965e-08,7.169174041076679e-08,8.266669941611567e-08,8.886808006843794e-08
0.58,-2.7479289000000004e-08,-1.3486068297243584e-08,7.792025905892972e-09,2.9518479577297e-08,4.9265113471812596e-08,6.453636411982631e-08,7.481766539910771e-08,8.052160453756114e-08
0.59,-2.8451003e-08,-1.5305531000114115e-08,4.639192861908243e-09,2.4521605857567446e-08,4.289823870327392e-08,5.7260073007379634e-08,6.68627173413846e-08,7.205241684547985e-08
0.6,-2.9629238e-08,-1.7201744074693293e-08,1.4693838132002422e-09,1.9546290164763696e-08,3.643016848166694e-08,4.987473913656062e-08,5.880974593365166e-08,6.348580300281825e-08
0.61,-3.0916573e-08,-1.918465758975249e-08,-1.7643285909094081e-09,1.459382717284991e-08,2.987286716012929e-08,4.237026157728876e-08,5.0645647995041875e-08,5.4826165854614495e-08
0.62,-3.2180129e-08,-2.1259853681989172e-08,-5.094557008773383e-09,9.653948933148787e-09,2.325061874883909e-08,3.474097308459926e-08,4.236222166123822e-08,4.608094585138219e-08
0.63,-3.3361019e-08,-2.3417577953806654e-08,-8.540414235504609e-09,4.707294312062791e-09,1.6594843270795266e-08,2.6988532109262983e-08,3.39568002762691e-08,3.7259946977871096e-08
0.64,-3.4516984e-08,-2.56089660783019e-08,-1.2082907145259867e-08,-2.445160666519219e-10,9.962527018563011e-09,1.915014117443382e-08,2.5457942598995882e-08,2.840003250685341e-08
0.65,-3.5606998e-08,-2.7810627167922475e-08,-1.57163833155045e-08,-5.226022644727158e-09,3.377112032020195e-09,1.1247448093499208e-08,1.6873210234176012e-08,1.95117582826854e-08
0.66,-3.6490462999999997e-08,-3.0025232372019677e-08,-1.9457882011524393e-08,-1.0288144410429476e-08,-3.1822184812570536e-09,3.279479162063313e-09,8.183496450534747e-09,1.0572206317872695e-08
0.67,-3.7193816e-08,-3.219738978679608e-08,-2.3278091945535154e-08,-1.5429195298372668e-08,-9.706727007554403e-09,-4.705650503289153e-09,-5.810471634384504e-10,1.5993696038333323e-09
0.68,-3.7801153e-08,-3.427812928196658e-08,-2.715137827217284e-08,-2.064595673887659e-08,-1.6206312030281818e-08,-1.2666730445719729e-08,-9.391051185045773e-09,-7.398802362707755e-09
0.6900000000000001,-3.8383501000000005e-08,-3.624805784471399e-08,-3.106034530777713e-08,-2.5944111448950196e-08,-2.2712349962093023e-08,-2.0583174883379147e-08,-1.8226182721211694e-08,-1.643204601671687e-08
0.7000000000000001,-3.9054662000000006e-08,-3.809610589535247e-08,-3.4962727873908935e-08,-3.130848273265512e-08,-2.9239712808487052e-08,-2.842722286241818e-08,-2.7044550874101854e-08,-2.5494293688264033e-08
0.71,-3.9898312e-08,-3.984988687964637e-08,-3.8814968344546894e-08,-3.672594059020097e-08,-3.580386938366233e-08,-3.618771298658672e-08,-3.580773940122335e-08,-3.458345093515585e-08
0.72,-4.094159e-08,-4.1572958923315223e-08,-4.258011779218664e-08,-4.218526387577362e-08,-4.241929463933852e-08,-4.387038631176756e-08,-4.4486369366527376e-08,-4.3700101563112556e-08
0.73,-4.2184034e-08,-4.3339121286692506e-08,-4.622832661186689e-08,-4.7664186013098136e-08,-4.9088240046007355e-08,-5.148451857887039e-08,-5.3054415040489276e-08,-5.283482924073056e-08
0.74,-4.3603926e-08,-4.5212317837714155e-08,-4.974466756493729e-08,-5.312555931571623e-08,-5.5798431330012887e-08,-5.903667989613259e-08,-6.149063489914241e-08,-6.196429901077522e-08
0.75,-4.5120562e-08,-4.725680515376207e-08,-5.316227434981191e-08,-5.85464161887058e-08,-6.255063615382354e-08,-6.65548575185895e-08,-6.980807718522403e-08,-7.10785885807293e-08
0.76,-4.673669e-08,-4.9488873164871333e-08,-5.652758494491994e-08,-6.388898040058658e-08,-6.932401802982949e-08,-7.40519426701514e-08,-7.801931873450813e-08,-8.014818274153717e-08
0.77,-4.8564304e-08,-5.187944026655867e-08,-5.988331016145979e-08,-6.910310441528775e-08,-7.606921874891542e-08,-8.151814335614971e-08,-8.61270034560406e-08,-8.911997364557903e-08
0.78,-5.0657187e-08,-5.4409364882902944e-08,-6.328296827152527e-08,-7.416734262377985e-08,-8.274116757594383e-08,-8.895250526709579e-08,-9.415123284992099e-08,-9.795275800263827e-08
0.79,-5.2947524e-08,-5.70684271017348e-08,-6.676308017696125e-08,-7.907907501957445e-08,-8.928817689375441e-08,-9.634781397225162e-08,-1.0210986335726782e-07,-1.0660668809167586e-07
0.8,-5.5189055e-08,-5.98706295329035e-08,-7.036227205323028e-08,-8.387489243230711e-08,-9.568094520495138e-08,-1.0371192546247394e-07,-1.1003603264999575e-07,-1.1506940368239456e-07
0.81,-5.7114801e-08,-6.280189334947439e-08,-7.410313441441093e-08,-8.859841246494371e-08,-1.0189591054967832e-07,-1.1104175165749726e-07,-1.1794942473673215e-07,-1.2333411286680012e-07
0.8200000000000001,-5.8571803999999994e-08,-6.579650176555582e-08,-7.799692877297558e-08,-9.328970100156527e-08,-1.079197603038973e-07,-1.1832020048962312e-07,-1.258510369318241e-07,-1.3139860202170997e-07
0.8300000000000001,-5.9581867e-08,-6.872436930425416e-08,-8.202704454007617e-08,-9.796461819967333e-08,-1.1373720684136607e-07,-1.255013270745039e-07,-1.3370617788069152e-07,-1.392495080007258e-07
0.84,-6.0221459e-08,-7.145989723291179e-08,-8.617900707610515e-08,-1.026538166628179e-07,-1.1937019098271118e-07,-1.3255281895357014e-07,-1.4148484682755518e-07,-1.4690082983644224e-07
0.85,-6.0638759e-08,-7.391363742654802e-08,-9.043140724635158e-08,-1.0740451284448326e-07,-1.2487543334873177e-07,-1.3946127223230494e-07,-1.4916563240386376e-07,-1.5439287202154615e-07
0.86,-6.1195205e-08,-7.59644596527597e-08,-9.464403393001413e-08,-1.1217412657875524e-07,-1.302329240090526e-07,-1.4613022926938997e-07,-1.566337411599924e-07,-1.6168256242172334e-07
0.87,-6.1893522e-08,-7.766358340547056e-08,-9.872540107138323e-08,-1.1699414643142477e-07,-1.355076166087538e-07,-1.525512038473149e-07,-1.6385392679223145e-07,-1.6880681402821533e-07
0.88,-6.2526783e-08,-7.917572017781017e-08,-1.0263230608846395e-07,-1.2193635898217585e-07,-1.40820905151782e-07,-1.587826922624761e-07,-1.708531671257948e-07,-1.758550654515281e-07
0.89,-6.332045100000001e-08,-8.054615986155253e-08,-1.0621965067629639e-07,-1.2691883834742726e-07,-1.4616091983062066e-07,-1.6476700814396152e-07,-1.775413873335801e-07,-1.8278071687551655e-07
0.9,-6.449070799999999e-08,-8.186808775452053e-08,-1.0942086888474052e-07,-1.3186964400653304e-07,-1.515402449494274e-07,-1.7049580481633147e-07,-1.838800277798005e-07,-1.8956279348874797e-07
0.91,-6.6063526e-08,-8.32881520847845e-08,-1.1226717366187276e-07,-1.3674595709067078e-07,-1.5700188333729304e-07,-1.7602399375404598e-07,-1.89898244546916e-07,-1.9621859965953119e-07
0.92,-6.813239e-08,-8.488407549094349e-08,-1.1478372639677262e-07,-1.4143957784092298e-07,-1.6250736127600479e-07,-1.8136294595739824e-07,-1.955879681468129e-07,-2.0269879195860825e-07
0.93,-7.067690200000001e-08,-8.673243553210348e-08,-1.1704830013651911e-07,-1.4586051629777303e-07,-1.680018844095068e-07,-1.8654550393626295e-07,-2.0097111536472701e-07,-2.089580557461033e-07
0.9400000000000001,-7.3493894e-08,-8.891176520961579e-08,-1.1919151348406155e-07,-1.4996513423188397e-07,-1.7343014098887922e-07,-1.916341237903492e-07,-2.0611086279134843e-07,-2.1497291571149424e-07
0.9500000000000001,-7.6376735e-08,-9.144833185083472e-08,-1.2135155706336192e-07,-1.5373339055508176e-07,-1.7871116661339896e-07,-1.9668012566983123e-07,-2.110744966116878e-07,-2.207136753617574e-07
0.96,-7.924902399999999e-08,-9.427161112484517e-08,-1.236193030223636e-07,-1.5713523251532712e-07,-1.837114429187529e-07,-2.0167569501956995e-07,-2.158880683639513e-07,-2.2611019510771202e-07
0.97,-8.1927038e-08,-9.731428783463955e-08,-1.2610330490867452e-07,-1.6021628149549373e-07,-1.8834491463732875e-07,-2.066315058449776e-07,-2.2061406933589891e-07,-2.311420695859857e-07
0.98,-8.4221978e-08,-1.0050156467139425e-07,-1.2890425735675115e-07,-1.630798564558367e-07,-1.925763514613901e-07,-2.1156069575703798e-07,-2.2533153454781048e-07,-2.3583155334898243e-07
