time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.0,0.0,3.180883240738233e-08,3.576556977433997e-08,3.821283837604478e-08,3.9078127549081344e-08,3.821283837604484e-08,3.576556977433997e-08,3.1808832407382326e-08
0.01,9.285516400000001e-12,5.757460757616346e-08,6.30143982248793e-08,6.517592415109706e-08,6.591773772992738e-08,6.517592415109714e-08,6.301439822487933e-08,5.757460757616343e-08
0.02,3.7104735e-11,7.954375667117585e-08,8.919293184021503e-08,9.126167478028856e-08,9.189577201848218e-08,9.126167478028864e-08,8.919293184021506e-08,7.95437566711758e-08
0.03,8.3579419e-11,9.77743888188477e-08,1.1494724999542231e-07,1.1735773930659946e-07,1.1791658712095167e-07,1.1735773930659955e-07,1.1494724999542234e-07,9.777438881884767e-08
0.04,1.4935917e-10,1.114244618699911e-07,1.3947030038530443e-07,1.4301571483959556e-07,1.435672492816106e-07,1.4301571483959574e-07,1.3947030038530443e-07,1.1142446186999111e-07
0.05,2.3490469e-10,1.207090019673358e-07,1.62485797434889e-07,1.6840000874059413e-07,1.690801657079942e-07,1.6840000874059429e-07,1.6248579743488897e-07,1.2070900196733577e-07
0.06,3.3967494e-10,1.2582737118969554e-07,1.8325403644364603e-07,1.932161710219455e-07,1.9427088718499556e-07,1.9321617102194563e-07,1.8325403644364603e-07,1.2582737118969557e-07
0.07,4.6367168e-10,1.2753616095424782e-07,2.013112249514996e-07,2.1736328275545394e-07,2.191947286399415e-07,2.1736328275545405e-07,2.0131122495149955e-07,1.2753616095424782e-07
0.08,6.0979491e-10,1.2659487842952992e-07,2.1609084519873997e-07,2.40461868808899e-07,2.4366524088657636e-07,2.4046186880889907e-07,2.1609084519873992e-07,1.2659487842952994e-07
0.09,7.8137323e-10,1.239780436222881e-07,2.2733799198293106e-07,2.6219951607410093e-07,2.675770885422419e-07,2.6219951607410103e-07,2.2733799198293103e-07,1.2397804362228816e-07
0.1,9.7815171e-10,1.2051494023720997e-07,2.34904967009605e-07,2.8208662409896404e-07,2.906239008355506e-07,2.8208662409896404e-07,2.3490496700960491e-07,1.2051494023721003e-07
0.11,1.1964262e-09,1.1699336956482322e-07,2.389814518276354e-07,2.9969429557445755e-07,3.124900654740459e-07,2.996942955744575e-07,2.3898145182763537e-07,1.1699336956482322e-07
0.12,1.433892e-09,1.1393683418869083e-07,2.3991696840642484e-07,3.145246621332791e-07,3.326727959156876e-07,3.145246621332791e-07,2.3991696840642473e-07,1.1393683418869085e-07
0.13,1.6901984e-09,1.1170434690262196e-07,2.383152179212168e-07,3.2619439346938647e-07,3.506272549008749e-07,3.261943934693864e-07,2.3831521792121664e-07,1.1170434690262198e-07
0.14,1.9633972e-09,1.1038650937536305e-07,2.3484892852191067e-07,3.343597295040082e-07,3.6567160477400506e-07,3.343597295040082e-07,2.348489285219105e-07,1.1038650937536303e-07
0.15,2.2500173e-09,1.0992714813727395e-07,2.3027025054586786e-07,3.388473533776583e-07,3.7712586733085364e-07,3.3884735337765814e-07,2.3027025054586757e-07,1.099271481372739e-07
0.16,2.5400979e-09,1.1009783285831763e-07,2.2523747744030988e-07,3.3958769191473404e-07,3.8428349410791196e-07,3.39587691914734e-07,2.2523747744030962e-07,1.1009783285831755e-07
0.17,2.8235075e-09,1.1062440668360142e-07,2.2030719209505827e-07,3.366894845083181e-07,3.865540204469494e-07,3.366894845083181e-07,2.2030719209505798e-07,1.1062440668360129e-07
0.18,3.1025028e-09,1.1118363493565064e-07,2.1580597957621618e-07,3.3035349373335446e-07,3.834657472044335e-07,3.303534937333545e-07,2.158059795762159e-07,1.111836349356505e-07
0.19,3.3850135e-09,1.1150590562261296e-07,2.1185718878965336e-07,3.2090131563871925e-07,3.747929654157721e-07,3.209013156387192e-07,2.1185718878965304e-07,1.1150590562261275e-07
0.2,3.6778722e-09,1.1136196096126817e-07,2.083281699210988e-07,3.086824822674161e-07,3.605541679124137e-07,3.0868248226741596e-07,2.0832816992109842e-07,1.1136196096126798e-07
0.21,3.982445e-09,1.1061716312467412e-07,2.0490439397828098e-07,2.9407905452727653e-07,3.410855171568604e-07,2.9407905452727643e-07,2.049043939782806e-07,1.1061716312467387e-07
0.22,4.2990385e-09,1.0919023262171188e-07,2.0110096350183387e-07,2.774266655249913e-07,3.1699414484804524e-07,2.774266655249912e-07,2.0110096350183353e-07,1.0919023262171163e-07
0.23,4.6403717e-09,1.0706160595410623e-07,1.9636327029944872e-07,2.590220559433517e-07,2.8915407685462377e-07,2.5902205594335165e-07,1.9636327029944835e-07,1.0706160595410598e-07
0.24,5.016163000000001e-09,1.0422092139143338e-07,1.901113544600603e-07,2.3908144033558554e-07,2.5860702086231485e-07,2.390814403355855e-07,1.9011135446005995e-07,1.0422092139143311e-07
0.25,5.4232891e-09,1.0066688137272941e-07,1.8184352181709214e-07,2.1777938843023467e-07,2.2650493865922779e-07,2.177793884302346e-07,1.8184352181709182e-07,1.0066688137272919e-07
0.26,5.8642227e-09,9.635352531097962e-08,1.7116135077684108e-07,1.9523284037852162e-07,1.9397134186543419e-07,1.9523284037852154e-07,1.7116135077684076e-07,9.635352531097941e-08
0.27,6.3499385e-09,9.12008483262435e-08,1.5783847435071334e-07,1.715569739006793e-07,1.6202676968032575e-07,1.7155697390067913e-07,1.5783847435071305e-07,9.12008483262433e-08
0.28,6.900146799999999e-09,8.507461502876011e-08,1.4181630307451454e-07,1.4686944349575815e-07,1.3147403673419588e-07,1.46869443495758e-07,1.4181630307451433e-07,8.507461502875995e-08
0.29,7.533923799999999e-09,7.781544741481106e-08,1.2322177916873628e-07,1.213343042754025e-07,1.0285366248890482e-07,1.2133430427540234e-07,1.2322177916873607e-07,7.781544741481098e-08
0.3,8.2269213e-09,6.925969793380893e-08,1.0234071211496256e-07,9.516794678549972e-08,7.640492263112016e-08,9.516794678549959e-08,1.0234071211496237e-07,6.925969793380884e-08
0.31,8.937005600000001e-09,5.928252697509647e-08,7.960202357546765e-08,6.865717657361822e-08,5.209019639958288e-08,6.865717657361809e-08,7.96020235754675e-08,5.928252697509643e-08
