time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.0,0.0,-1.958387678941208e-09,-5.062871024131025e-09,-8.110249935008568e-09,-1.0764648790937293e-08,-1.2870096623054342e-08,-1.4334486325872869e-08,-1.514121010163891e-08
0.01,7.1150616e-11,-1.960924094821574e-09,-4.971208514411668e-09,-7.920716929548598e-09,-1.0490670524412691e-08,-1.2528993396765557e-08,-1.3946707601125879e-08,-1.472771438569647e-08
0.02,2.8563307e-10,-1.9404718056559436e-09,-4.877686524004231e-09,-7.721252676442865e-09,-1.0203992927541295e-08,-1.2172449934217887e-08,-1.3541608792388606e-08,-1.4295855295754412e-08
0.03,6.449812599999999e-10,-1.8659722574031195e-09,-4.782242762258472e-09,-7.508747651019708e-09,-9.901467876567802e-09,-1.1797684536104643e-08,-1.3116487630297807e-08,-1.3843001194570256e-08
0.04,1.1507222e-09,-1.7068210052673867e-09,-4.685937907087545e-09,-7.286132172852569e-09,-9.584060280596594e-09,-1.1406396858694053e-08,-1.2673090761105128e-08,-1.3370972410509959e-08
0.05,1.804372e-09,-1.432558545649995e-09,-4.581355226515217e-09,-7.056303731222772e-09,-9.250541825933746e-09,-1.0998182880168129e-08,-1.2211149644473206e-08,-1.28795461713536e-08
0.06,2.6074447e-09,-1.02062773353637e-09,-4.454391595449063e-09,-6.824628248473846e-09,-8.901328509453859e-09,-1.0573614848097928e-08,-1.1731665062355685e-08,-1.236971122444617e-08
0.07,3.5614042e-09,-4.5665970416342074e-10,-4.283133427011891e-09,-6.595047526706801e-09,-8.537313726603101e-09,-1.0132111956991636e-08,-1.1234902175699002e-08,-1.1841680189898249e-08
0.08,4.6676594e-09,2.646707812623403e-10,-4.042028365318881e-09,-6.368841487407111e-09,-8.161851948885601e-09,-9.67332597524476e-09,-1.0721622821229101e-08,-1.1296233371892676e-08
0.09,5.9277266e-09,1.1428129089774067e-09,-3.7049564880125607e-09,-6.141387560559531e-09,-7.779908315631907e-09,-9.196617640550703e-09,-1.019200633101556e-08,-1.0733836810388356e-08
0.1,7.3430741e-09,2.1740190475406858e-09,-3.2497298573995848e-09,-5.901567271781775e-09,-7.397877522078189e-09,-8.702412740677402e-09,-9.646135336386488e-09,-1.0155327629595453e-08
0.11,8.9151312e-09,3.35487692653817e-09,-2.660164478422727e-09,-5.631586355476935e-09,-7.021303523506656e-09,-8.192438822170471e-09,-9.083364170967267e-09,-9.56132978100889e-09
0.12,1.064532e-08,4.683915140114988e-09,-1.9273181490997406e-09,-5.309438292429961e-09,-6.653129525265845e-09,-7.670752975641811e-09,-8.502955768899517e-09,-8.952628570227356e-09
0.13,1.2534973e-08,6.1625835266853014e-09,-1.0480294656998227e-09,-4.911568574033609e-09,-6.291204582180805e-09,-7.143280144395804e-09,-7.904135181167631e-09,-8.329574664687015e-09
0.14,1.4585530000000001e-08,7.794324070435333e-09,-2.3028240488496153e-11,-4.416552883849531e-09,-5.927442790265596e-09,-6.617362912102738e-09,-7.287236723642025e-09,-7.692284018420927e-09
0.15,1.6798404e-08,9.583586220835467e-09,1.1460279251878314e-09,-3.807322589239326e-09,-5.54754708713899e-09,-6.099802332646486e-09,-6.65418409338532e-09,-7.040149899769708e-09
0.16,1.9175103e-08,1.1534216766483681e-08,2.458336632845439e-09,-3.0727074132842425e-09,-5.132799719701809e-09,-5.59515808895526e-09,-6.009427364860724e-09,-6.372205903471257e-09
0.17,2.1716948000000002e-08,1.3648857928726598e-08,3.915323671577328e-09,-2.2067979477495944e-09,-4.662225288551648e-09,-5.103518220536852e-09,-5.3596624863176514e-09,-5.6870814529639836e-09
