time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.0,0.0,3.4054635559543315e-11,1.0164129069006258e-10,1.665625562127869e-10,2.2279449388252878e-10,2.673226570992135e-10,2.9819515956280394e-10,3.14789285076652e-10
0.01,6.0659647e-11,3.4313547608300765e-11,1.807001114742845e-10,3.256956754553548e-10,4.507136432823969e-10,5.498060657804514e-10,6.18504563641281e-10,6.554324523560981e-10
0.02,2.4284549e-10,5.174358931919087e-11,2.551756090904809e-10,4.824035050578312e-10,6.751546479936936e-10,8.283096727565762e-10,9.34484566157494e-10,9.915632149090215e-10
0.03,5.4686481e-10,1.1301097827775018e-10,3.259753180807224e-10,6.393292999428235e-10,8.988350811514507e-10,1.1052587427954012e-09,1.2484763272704154e-09,1.3254647292816103e-09
0.04,9.730249399999999e-10,2.4419676639050385e-10,3.9326422078515997e-10,7.941489559708433e-10,1.120864422110009e-09,1.379267498636598e-09,1.5590201413617383e-09,1.6556203717098776e-09
0.05,1.5216178e-09,4.710555233976898e-10,4.6455475462286127e-10,9.449803268300148e-10,1.3421639925631714e-09,1.65079149396497e-09,1.8664299758339256e-09,1.9823045442460178e-09
0.06,2.1929563e-09,8.122862903349537e-10,5.529594915039979e-10,1.0883323596203618e-09,1.562226905952804e-09,1.9194222433522264e-09,2.1699750757092702e-09,2.3047742326442637e-09
0.07,2.9873303e-09,1.279363560976291e-09,6.779850246541145e-10,1.2224594972228366e-09,1.7802868093074864e-09,2.1856638945418773e-09,2.469621888329162e-09,2.6229882560300215e-09
0.08,3.9050179e-09,1.875789502131006e-09,8.617760012382652e-10,1.348259388876305e-09,1.9937935590846855e-09,2.449666954194346e-09,2.764931994614899e-09,2.936429004166537e-09
0.09,4.9462749e-09,2.599989561389626e-09,1.126480606407938e-09,1.471885018376656e-09,2.199422681229088e-09,2.71176269606388e-09,3.056011957442277e-09,3.244941952089181e-09
0.1,6.1113699e-09,3.447566980558456e-09,1.4903458121169145e-09,1.604890366392583e-09,2.393310567913793e-09,2.971348059413016e-09,3.3429625339669304e-09,3.5481067729266584e-09
0.11,7.4006843e-09,4.414399113924415e-09,1.96600474725023e-09,1.764061952120351e-09,2.5729921637828615e-09,3.2268554387901277e-09,3.6263074763164824e-09,3.845720708592116e-09
0.12,8.8144257e-09,5.498137111587827e-09,2.559668491856528e-09,1.9691918128629895e-09,2.7388694087548476e-09,3.475248943149915e-09,3.906511117836692e-09,4.1375857810937745e-09
0.13,1.0352885e-08,6.6989422822150816e-09,3.2723924008016055e-09,2.2405302690300063e-09,2.89590722826632e-09,3.712524546092616e-09,4.1838057320569e-09,4.42382676104971e-09
0.14,1.2016303e-08,8.018774554916256e-09,4.10195103361866e-09,2.595762540872272e-09,3.0540863590163702e-09,3.934379295322925e-09,4.457460502857131e-09,4.7047542386615525e-09
0.15,1.3804759e-08,9.460537309955249e-09,5.045465940030393e-09,3.048219985500835e-09,3.2282300769108114e-09,4.137887232591564e-09,4.725609530122179e-09,4.981154099499307e-09
0.16,1.5718503e-08,1.102658756881277e-08,6.100949852493512e-09,3.605736838185236e-09,3.436116567333967e-09,4.3227528798099315e-09,4.984760349914706e-09,5.253830536494288e-09
0.17,1.7757704e-08,1.2718285607500207e-08,7.268535641884684e-09,4.271496676999735e-09,3.696498389084588e-09,4.49294163538058e-09,5.2304434820597035e-09,5.523623180843444e-09
0.18,1.9922782000000002e-08,1.4535540544064357e-08,8.550073121429683e-09,5.045285222418255e-09,4.02637680454186e-09,4.656988038312805e-09,5.457830926015615e-09,5.790660439128591e-09
0.19,2.2214126e-08,1.647740237986255e-08,9.948470317649344e-09,5.9256544874672975e-09,4.439279592220152e-09,4.827825443359867e-09,5.663334236298346e-09,6.054051169468829e-09
0.2,2.4631744999999997e-08,1.8542713337511462e-08,1.1466573693778593e-08,6.911644815548622e-09,4.944308144663553e-09,5.021455402790608e-09,5.846186571586503e-09,6.311466972641067e-09
0.21,2.7175812e-08,2.073063822442691e-08,1.310622658335367e-08,8.003742101826136e-09,5.546258127071775e-09,5.254930569300337e-09,6.009737775661032e-09,6.558950132491507e-09
0.22,2.9846533e-08,2.3040995158262454e-08,1.486788099216345e-08,9.203987622303086e-09,6.246697262172638e-09,5.544253369851174e-09,6.162105354311347e-09,6.791176967973487e-09
0.23,3.2644037999999997e-08,2.547439553994905e-08,1.6750939341134244e-08,1.0515519258696245e-08,7.045677849363031e-09,5.9028720475427935e-09,6.3160065442279764e-09,7.002368739100969e-09
0.24,3.5568548e-08,2.803187630253627e-08,1.875428604468867e-08,1.1941543328675043e-08,7.943181327731717e-09,6.340800289317427e-09,6.487346860744543e-09,7.18741601158666e-09
0.25,3.8621005000000004e-08,3.071433590750367e-08,2.0876799172989143e-08,1.3484265713703974e-08,8.939966285576978e-09,6.864572234026268e-09,6.692910399205275e-09,7.3431264858480355e-09
0.26,4.1801786999999994e-08,3.352250896685182e-08,2.311807249906404e-08,1.514463539402664e-08,1.0038152487042524e-08,7.47836028301833e-09,6.948178157845643e-09,7.469846109185568e-09
0.27,4.5110478000000005e-08,3.6456911011800606e-08,2.5478685635274954e-08,1.692249107120957e-08,1.1241080482179474e-08,8.185297896018903e-09,7.26536259678361e-09,7.572625513252031e-09
0.28,4.8546921e-08,3.951757626750967e-08,2.795980245622336e-08,1.8816810063705832e-08,1.2552480892941173e-08,8.98828789759639e-09,7.651985645585093e-09,7.661462231873661e-09
0.29,5.2112175999999994e-08,4.270393860672115e-08,3.056241627983804e-08,2.082607591365427e-08,1.3975497568382435e-08,9.890146742802464e-09,8.110547979871454e-09,7.750725229791326e-09
0.3,5.5806026999999996e-08,4.601588933071547e-08,3.3287557520441826e-08,2.2949636707196285e-08,1.551294429963683e-08,1.0894094784735045e-08,8.640415166649643e-09,7.858936437240502e-09
0.31,5.9627587e-08,4.9453747262699476e-08,3.6135882927581726e-08,2.5187997930411684e-08,1.7167047702724238e-08,1.20029163286473e-08,9.239741723318255e-09,8.00725830565081e-09
0.32,6.3577628e-08,5.3017507494583984e-08,3.910696521933214e-08,2.754220633162174e-08,1.893882975293688e-08,1.3217394861602342e-08,9.907089528242564e-09,8.217196491037132e-09
0.33,6.7656829e-08,5.670750892125928e-08,4.2200157923910664e-08,3.001431929020205e-08,2.0828910289197217e-08,1.4536422998637036e-08,1.0644072782854494e-08,8.509781674532128e-09
0.34,7.1865428e-08,6.052423473130335e-08,4.5414899950924414e-08,3.2606960864347746e-08,2.283747670958869e-08,1.5957033718629875e-08,1.1456444834700931e-08,8.904393374457379e-09
0.35000000000000003,7.6203968e-08,6.446793501927317e-08,4.875093943408763e-08,3.532267950041761e-08,2.4963950322619565e-08,1.7475046991323485e-08,1.2353989236249181e-08,9.417956408449794e-09
0.36,8.067342899999999e-08,6.853840036820123e-08,5.220846362784099e-08,3.816334748427354e-08,2.7206562962556614e-08,1.9086301984928372e-08,1.3349443580786194e-08,1.0064658064400598e-08
0.37,8.5273289e-08,7.27356995679151e-08,5.578885355836898e-08,4.113045205049222e-08,2.95628287914589e-08,2.07888947423095e-08,1.4457613257659517e-08,1.0856881401474222e-08
0.38,9.0002996e-08,7.705989049855747e-08,5.9494294918438914e-08,4.4224497100349974e-08,3.2029326975612965e-08,2.2584168056044543e-08,1.5693372905192472e-08,1.1805384243774741e-08
0.39,9.486370500000001e-08,8.151052538742479e-08,6.332677784948174e-08,4.744409913557707e-08,3.4601474113394066e-08,2.4476622676659423e-08,1.7069568789503874e-08,1.2919081247731052e-08
0.4,9.9854603e-08,8.608818859029798e-08,6.728875699010034e-08,5.0787071839362736e-08,3.7275530843264774e-08,2.647484335472111e-08,1.8597396108201615e-08,1.4206551850470262e-08
0.41000000000000003,1.0497339999999999e-07,9.079471704612264e-08,7.138288784240812e-08,5.4250754479263935e-08,4.004989624920817e-08,2.8590753074057333e-08,2.0286556107533962e-08,1.5676435259019556e-08
0.42,1.1022245000000001e-07,9.563096581233231e-08,7.560951588929244e-08,5.7830265878315195e-08,4.2924012172072386e-08,3.0836105164179744e-08,2.2143649293844226e-08,1.7335326940468736e-08
0.43,1.1560335e-07,1.0059890135469954e-07,7.996811638655819e-08,6.152099848541149e-08,4.5900857287360155e-08,3.322290723591317e-08,2.4174798262193872e-08,1.9189532976786336e-08
0.44,1.2111479e-07,1.0570137178761107e-07,8.445719174577085e-08,6.531951275833659e-08,4.898710669170905e-08,3.576242767329745e-08,2.6386457932392903e-08,2.1245054887843974e-08
0.45,1.2675621e-07,1.1094004483149879e-07,8.90731168101488e-08,6.922305670213884e-08,5.219127461098842e-08,3.846335588366738e-08,2.8784510714697296e-08,2.350622004840251e-08
0.46,1.3252591e-07,1.1631660589160552e-07,9.381257781266376e-08,7.323231009484889e-08,5.552474066870726e-08,4.133390486219187e-08,3.137631743912835e-08,2.597776209688971e-08
0.47000000000000003,1.3842886e-07,1.2182865347685224e-07,9.866972768296809e-08,7.734835525955735e-08,5.899709407644162e-08,4.4378848676657505e-08,3.4166939333017695e-08,2.866149538537993e-08
0.48,1.4446584e-07,1.2747358362234638e-07,1.0364030344782723e-07,8.157627857909077e-08,6.261861656009659e-08,4.760373045288789e-08,3.7162213508822555e-08,3.1560049697871205e-08
