time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.0,0.0,-7.008230834481185e-07,-1.8179308761230972e-06,-2.914473947560471e-06,-3.869614764261891e-06,-4.627224320952699e-06,-5.154160247453244e-06,-5.44444621478119e-06
0.005,4.5796660000000006e-09,-7.034742388419551e-07,-1.8179523782388155e-06,-2.911800371208985e-06,-3.864608069565815e-06,-4.620363943589413e-06,-5.146010752946333e-06,-5.435586455859415e-06
0.01,1.8322199999999998e-08,-7.055342470494656e-07,-1.8174847982269124e-06,-2.908155217210449e-06,-3.8582980840517565e-06,-4.611921751289907e-06,-5.136086999767452e-06,-5.424846032223755e-06
0.015,4.123509e-08,-7.062102404799574e-07,-1.816411297361454e-06,-2.903307196943647e-06,-3.850475595996422e-06,-4.6016904201648105e-06,-5.124184027734708e-06,-5.412021075889739e-06
0.02,7.332607e-08,-7.048128195150701e-07,-1.814924689789358e-06,-2.897317880399825e-06,-3.84121833893031e-06,-4.589752148162838e-06,-5.110385949648869e-06,-5.3971969638759226e-06
0.025,1.146025e-07,-7.003836385828515e-07,-1.8130770868090754e-06,-2.8901292614496278e-06,-3.83046672880198e-06,-4.576056634204665e-06,-5.094643505260925e-06,-5.380325886436217e-06
0.03,1.6507160000000002e-07,-6.919548045556956e-07,-1.8109595248218253e-06,-2.8817844125984913e-06,-3.818233976618428e-06,-4.560632809867371e-06,-5.076985808626446e-06,-5.361438575907858e-06
0.035,2.2474030000000002e-07,-6.784761315909343e-07,-1.808543403359393e-06,-2.87230630818347e-06,-3.804477272089525e-06,-4.543459887873e-06,-5.057391824629265e-06,-5.340515608509253e-06
0.04,2.9361579999999996e-07,-6.589500230200852e-07,-1.8057399283848335e-06,-2.8617877572198633e-06,-3.78918547775895e-06,-4.524552964047987e-06,-5.035877036112997e-06,-5.317573822407297e-06
0.045,3.71705e-07,-6.324174248210134e-07,-1.802318249828727e-06,-2.8503285319229304e-06,-3.772320253338264e-06,-4.503899668942679e-06,-5.0124315951227215e-06,-5.292604130087275e-06
0.05,4.59015e-07,-5.980407906105735e-07,-1.7979405021358378e-06,-2.8380760389460986e-06,-3.7538679156277674e-06,-4.481505607301536e-06,-4.987067590545765e-06,-5.265618495812611e-06
0.055,5.555525e-07,-5.550968868307397e-07,-1.7921228648153701e-06,-2.8251769558939493e-06,-3.733808711740457e-06,-4.4573557139514506e-06,-4.959782114590733e-06,-5.236612828748133e-06
0.06,6.613242e-07,-5.030225405970379e-07,-1.7842732052903338e-06,-2.811791184084939e-06,-3.7121539518140585e-06,-4.4314431146987225e-06,-4.9305873649664216e-06,-5.205597191817321e-06
0.065,7.763371e-07,-4.4139716514448805e-07,-1.7736832054366862e-06,-2.7980474108500755e-06,-3.6889279723629907e-06,-4.4037435599519016e-06,-4.899485310019379e-06,-5.172570925420422e-06
0.07,9.005980000000001e-07,-3.6995789878042864e-07,-1.7595738045014623e-06,-2.78404244354164e-06,-3.6641947907472164e-06,-4.374236755357943e-06,-4.8664878956883106e-06,-5.137543762512384e-06
0.075,1.034113e-06,-2.8856997435078473e-07,-1.7411085038218303e-06,-2.7698025168658087e-06,-3.6380445178922333e-06,-4.342890815417117e-06,-4.831598670814957e-06,-5.1005187811172395e-06
0.08,1.17689e-06,-1.9721771313871263e-07,-1.717439769822637e-06,-2.7552765236789937e-06,-3.6106068499948126e-06,-4.309678292619904e-06,-4.7948242520018615e-06,-5.061505556138312e-06
0.085,1.328934e-06,-9.597128059178721e-08,-1.6877347156481e-06,-2.7403116933463143e-06,-3.5820394039202374e-06,-4.27457208154282e-06,-4.756164034106913e-06,-5.020511713501163e-06
0.09,1.4902519999999999e-06,1.5035545727529033e-08,-1.6512138783637656e-06,-2.724649962426961e-06,-3.552527408592558e-06,-4.2375579072688455e-06,-4.7156153346853845e-06,-4.9775498320722414e-06
0.095,1.660849e-06,1.3563840109320908e-07,-1.6071730803382537e-06,-2.7079183571414286e-06,-3.522266776712862e-06,-4.198634868140985e-06,-4.673166085977964e-06,-4.932631453231258e-06
