time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.0,0.0,-9.340151870516394e-07,-1.529867529531681e-06,-1.8611618244758503e-06,-1.9680038322142387e-06,-1.8611618244758515e-06,-1.5298675295316803e-06,-9.34015187051639e-07
0.005,-7.40195e-09,-9.12487646812101e-07,-1.4994549419663233e-06,-1.8240043442939673e-06,-1.928303075952766e-06,-1.8240043442939684e-06,-1.4994549419663226e-06,-9.124876468121008e-07
0.01,-2.960595e-08,-8.86770408046796e-07,-1.4654408607399588e-06,-1.7838058088824127e-06,-1.8857229480105225e-06,-1.783805808882413e-06,-1.4654408607399582e-06,-8.867704080467958e-07
0.015,-6.66081e-08,-8.58024609021399e-07,-1.42838943747154e-06,-1.7411256680622066e-06,-1.8408299963753218e-06,-1.7411256680622068e-06,-1.4283894374715393e-06,-8.580246090213988e-07
0.02,-1.184042e-07,-8.269893094262972e-07,-1.3882261423528441e-06,-1.6958689482987178e-06,-1.7935364277315175e-06,-1.6958689482987178e-06,-1.3882261423528437e-06,-8.269893094262971e-07
0.025,-1.8499020000000003e-07,-7.9490023987495e-07,-1.3451981269674402e-06,-1.6482373699102738e-06,-1.7440508072713755e-06,-1.648237369910274e-06,-1.34519812696744e-06,-7.949002398749497e-07
0.03,-2.663619e-07,-7.629877118855913e-07,-1.2994120854570798e-06,-1.5982544859634578e-06,-1.6924019464964074e-06,-1.5982544859634582e-06,-1.2994120854570792e-06,-7.629877118855913e-07
0.035,-3.625149e-07,-7.327287280712269e-07,-1.251137381499089e-06,-1.5460573350620158e-06,-1.6387292627191256e-06,-1.5460573350620156e-06,-1.251137381499088e-06,-7.327287280712269e-07
0.04,-4.734451e-07,-7.05617537216847e-07,-1.2006242005201453e-06,-1.4917022525475566e-06,-1.5830864435127355e-06,-1.4917022525475562e-06,-1.2006242005201446e-06,-7.056175372168474e-07
0.045,-5.991488e-07,-6.832671553761011e-07,-1.1482581615177186e-06,-1.435309751779569e-06,-1.525583867891332e-06,-1.4353097517795688e-06,-1.1482581615177178e-06,-6.832671553761013e-07
0.05,-7.396225e-07,-6.672669883648052e-07,-1.0944649578023978e-06,-1.3769607366280957e-06,-1.4662815186020858e-06,-1.3769607366280952e-06,-1.0944649578023972e-06,-6.672669883648055e-07
0.055,-8.948617e-07,-6.592281141206625e-07,-1.0398033307354455e-06,-1.3167850159382298e-06,-1.4052738480879287e-06,-1.3167850159382292e-06,-1.0398033307354448e-06,-6.592281141206628e-07
0.06,-1.064861e-06,-6.606845119035542e-07,-9.849052659830224e-07,-1.2548999276682214e-06,-1.3426241126965718e-06,-1.2548999276682204e-06,-9.849052659830218e-07,-6.606845119035547e-07
0.065,-1.2496170000000001e-06,-6.731167751131154e-07,-9.305355855449159e-07,-1.1914731958163329e-06,-1.278422827791371e-06,-1.1914731958163318e-06,-9.305355855449154e-07,-6.731167751131158e-07
0.07,-1.449128e-06,-6.978756877200403e-07,-8.775406591003699e-07,-1.1266785758581969e-06,-1.212738804840218e-06,-1.1266785758581956e-06,-8.775406591003695e-07,-6.978756877200406e-07
0.075,-1.6634e-06,-7.362028140741556e-07,-8.268885251851487e-07,-1.0607478508361687e-06,-1.1456669187225356e-06,-1.060747850836167e-06,-8.268885251851479e-07,-7.362028140741561e-07
0.08,-1.8924330000000001e-06,-7.891768401624051e-07,-7.796231822534424e-07,-9.939405521166505e-07,-1.0772940321307184e-06,-9.939405521166484e-07,-7.796231822534417e-07,-7.891768401624053e-07
0.085,-2.136217e-06,-8.577346223937715e-07,-7.368872785771603e-07,-9.265862980014107e-07,-1.0077385803432833e-06,-9.265862980014088e-07,-7.368872785771597e-07,-8.577346223937717e-07
0.09,-2.39474e-06,-9.426386824591747e-07,-6.998803436851586e-07,-8.590652373672675e-07,-9.371294151040652e-07,-8.590652373672656e-07,-6.998803436851582e-07,-9.426386824591747e-07
0.095,-2.667994e-06,-1.0444936533526305e-06,-6.698600883872213e-07,-7.918342793602598e-07,-8.656321457723973e-07,-7.918342793602568e-07,-6.698600883872213e-07,-1.0444936533526303e-06
0.1,-2.955975e-06,-1.1637313806841278e-06,-6.48102940776926e-07,-7.254134701803187e-07,-7.934374209920578e-07,-7.254134701803158e-07,-6.48102940776926e-07,-1.163731380684128e-06
0.105,-3.2586790000000003e-06,-1.3006362494836274e-06,-6.359006899919658e-07,-6.604092429566326e-07,-7.207883054582327e-07,-6.6040924295663e-07,-6.359006899919662e-07,-1.300636249483627e-06
