time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.0,0.0,-1.2408435425853839e-07,-3.2171028906179733e-07,-5.156989720429295e-07,-6.846720748514955e-07,-8.187001284537188e-07,-9.119199017444078e-07,-9.632741380720382e-07
0.01,1.3631619999999999e-09,-1.2348084328789787e-07,-3.1825333874424896e-07,-5.09337212965556e-07,-6.757955480427363e-07,-8.078261434822279e-07,-8.996568553594256e-07,-9.502457931084101e-07
0.02,5.455132000000001e-09,-1.2231114177345808e-07,-3.144340774145529e-07,-5.022606564839082e-07,-6.659789547032556e-07,-7.958229595454585e-07,-8.86133571350766e-07,-9.35884874983183e-07
0.03,1.228075e-08,-1.1998361632424737e-07,-3.1025477631234915e-07,-4.944163195274768e-07,-6.551707045094102e-07,-7.82647812210885e-07,-8.713100486164625e-07,-9.201534225026858e-07
0.04,2.184457e-08,-1.1592108308315635e-07,-3.057398106488329e-07,-4.858686291457703e-07,-6.433998650891881e-07,-7.683458202329531e-07,-8.552336798112352e-07,-9.031009961043239e-07
0.05,3.415096e-08,-1.0955439594925134e-07,-3.0075098964955926e-07,-4.766816702140926e-07,-6.30654271847737e-07,-7.529226783298545e-07,-8.379142751506613e-07,-8.847391067994428e-07
0.06,4.920411e-08,-1.0047168844529799e-07,-2.9502335809380896e-07,-4.6696716460788647e-07,-6.169545300674211e-07,-7.36404078990267e-07,-8.193873927761003e-07,-8.651039740772209e-07
0.07,6.700807e-08,-8.842225285088553e-08,-2.881448823882184e-07,-4.568093849747079e-07,-6.023314505670867e-07,-7.187947761405145e-07,-7.996757428526443e-07,-8.442182727440282e-07
0.08,8.756695999999999e-08,-7.333203263714024e-08,-2.796382647850831e-07,-4.462419190744652e-07,-5.868643541336687e-07,-7.00105671994004e-07,-7.78813250082102e-07,-8.221173419006826e-07
0.09,1.108851e-07,-5.5239536290330834e-08,-2.6901943220311804e-07,-4.3518471687901005e-07,-5.706631622007507e-07,-6.803425740797644e-07,-7.56823091824931e-07,-7.988310002664455e-07
0.1,1.369673e-07,-3.4245036217080434e-08,-2.558852500740086e-07,-4.2343498465337326e-07,-5.538658591538544e-07,-6.595335117363267e-07,-7.337283369534508e-07,-7.743979688636348e-07
0.11,1.6581869999999998e-07,-1.0441273960695602e-08,-2.3995213252615286e-07,-4.1066441630484586e-07,-5.365940053250369e-07,-6.377326688050063e-07,-7.095394000462945e-07,-7.488541538958328e-07
0.12,1.9744510000000002e-07,1.611752678849785e-08,-2.2107828104143953e-07,-3.964672218261677e-07,-5.189187920675457e-07,-6.150394107107841e-07,-6.842659049122357e-07,-7.22239376268393e-07
0.13,2.318528e-07,4.5433784299855664e-08,-1.9923520196822048e-07,-3.8041291515268456e-07,-5.008145105400062e-07,-5.91589918944403e-07,-6.579186394513451e-07,-6.945868044228906e-07
0.14,2.690478e-07,7.754900856202794e-08,-1.7446941111443265e-07,-3.62116259558143e-07,-4.821423133645319e-07,-5.675472245436972e-07,-6.305305982641256e-07,-6.659258647118641e-07
0.15,3.0903589999999997e-07,1.1252400495340506e-07,-1.4684541719224283e-07,-3.412803566884461e-07,-4.6264668288229483e-07,-5.430640662035107e-07,-6.02166750120191e-07,-6.36273644485113e-07
0.16,3.518213e-07,1.5040837797482073e-07,-1.1640992025541431e-07,-3.177242653580348e-07,-4.419896542269309e-07,-5.182490682721179e-07,-5.729404854014852e-07,-6.05640710955176e-07
0.17,3.97407e-07,1.9122765404254383e-07,-8.316648328096376e-08,-2.913707714363376e-07,-4.1979424388117056e-07,-4.931253981937125e-07,-5.430088917963205e-07,-5.740314210257645e-07
0.18,4.4579390000000004e-07,2.3497566312047693e-07,-4.7081704145982485e-08,-2.622199712521103e-07,-3.957034182007292e-07,-4.676127398779338e-07,-5.12562191526888e-07,-5.4145875140952e-07
0.19,4.969826000000001e-07,2.8162584318293235e-07,-8.09956180341379e-09,-2.3030394500694033e-07,-3.6942228078597833e-07,-4.4152287723375717e-07,-4.817896471299857e-07,-5.079546244443566e-07
0.2,5.509748e-07,3.3114366844099267e-07,3.383188655095358e-08,-1.9565142128343305e-07,-3.4074688815408685e-07,-4.1458526417643456e-07,-4.508419899382073e-07,-4.7358747056352665e-07
0.21,6.077742e-07,3.835020347618342e-07,7.874255760836795e-08,-1.5826253640516802e-07,-3.095643158612445e-07,-3.8648586988779663e-07,-4.197889881780071e-07,-4.384716983229392e-07
0.22,6.673885000000001e-07,4.3868895136726414e-07,1.2663049581875312e-07,-1.181055429175933e-07,-2.7583492761224244e-07,-3.5691556300493e-07,-3.885913044816461e-07,-4.0277235342922406e-07
0.23,7.298295e-07,4.967095884390622e-07,1.7746754181986816e-07,-7.512671715330985e-08,-2.395599029611483e-07,-3.256084922268065e-07,-3.570901683313408e-07,-3.666955356577646e-07
0.24,7.951121000000001e-07,5.575795029947499e-07,2.312106575505473e-07,-2.9272227615613304e-08,-2.007519292959466e-07,-2.923663186106245e-07,-3.2502622630387044e-07,-3.304704509894154e-07
0.25,8.632525e-07,6.213178881444731e-07,2.878197885890281e-07,1.9494368609972977e-08,-1.594111313686523e-07,-2.5705648179546595e-07,-2.920780055635511e-07,-2.943180204822795e-07
0.26,9.342654999999999e-07,6.879388580408371e-07,3.4726844719786154e-07,7.117853872222425e-08,-1.155183812611721e-07,-2.1959541799284563e-07,-2.5791875414919676e-07,-2.5841886359047266e-07
0.27,1.008163e-06,7.574491383927265e-07,4.0955035088915723e-07,1.257554785740015e-07,-6.903724169836891e-08,-1.799187090669162e-07,-2.2227066519677038e-07,-2.2287976806721026e-07
0.28,1.0849499999999999e-06,8.298455055550604e-07,4.746725536638724e-07,1.8317479283867277e-07,-1.992806573537565e-08,-1.379594404971853e-07,-1.849514692978667e-07,-1.8771430747750343e-07
0.29,1.16463e-06,9.051251812214113e-07,5.426534631699979e-07,2.433809161793172e-07,3.184875221901316e-08,-9.362899064095593e-08,-1.458865250068295e-07,-1.5282610151300483e-07
0.3,1.2471969999999998e-06,9.832814400753948e-07,6.13502885291241e-07,3.063173725949327e-07,8.631846462787268e-08,-4.683215637436515e-08,-1.0510933012262625e-07,-1.1802340536796896e-07
0.31,1.332644e-06,1.0643150115057175e-06,6.872224434860572e-07,3.7194560980961034e-07,1.43502430049502e-07,2.520209728651744e-09,-6.271940778310487e-08,-8.302866742854256e-08
0.32,1.42096e-06,1.148228364141789e-06,7.637960535251754e-07,4.4024412831266953e-07,2.0341774793236658e-07,5.447648505731237e-08,-1.8840511221386913e-08,-4.751149057983337e-08
0.33,1.512137e-06,1.2350270344911362e-06,8.431964729358803e-07,5.112141132488497e-07,2.660866963651111e-07,1.0902449470359877e-07,2.6433274759971378e-08,-1.1113325721040544e-08
0.34,1.6061680000000001e-06,1.324708684115324e-06,9.253847615670299e-07,5.848712453647191e-07,3.315291849801231e-07,1.6607473788840154e-07,7.306888616337168e-08,2.6519783631462383e-08
0.35000000000000003,1.7030560000000001e-06,1.4172649073941865e-06,1.0103247596101668e-06,6.612492819208765e-07,3.997605006895071e-07,2.254763173833135e-07,1.2111913209562805e-07,6.572491112465181e-08
0.36,1.8028080000000001e-06,1.5126722568190403e-06,1.0979837209570068e-06,7.403888469922482e-07,4.707693548542588e-07,2.870374375064767e-07,1.7071209338851098e-07,1.0680517368461438e-07
0.37,1.905437e-06,1.6108985783930506e-06,1.1883437774798992e-06,8.223367592387942e-07,5.445077432161923e-07,3.5056945768240017e-07,2.2203551973713566e-07,1.500333316308616e-07
0.38,2.010958e-06,1.711908010677106e-06,1.2814056277893143e-06,9.071369499683597e-07,6.208813278833006e-07,4.15925843437434e-07,2.7530670976410124e-07,1.9565541953906812e-07
0.39,2.11938e-06,1.8156646962615956e-06,1.377186214546007e-06,9.94814936518752e-07,6.997478728404181e-07,4.830277621044823e-07,3.3073981068677014e-07,2.4389324717244815e-07
0.4,2.230711e-06,1.9221474512968305e-06,1.4757226542199278e-06,1.0853699558134244e-06,7.80937973104832e-07,5.518818798662678e-07,3.8853083820087156e-07,2.9495518711309573e-07
0.41000000000000003,2.344953e-06,2.0313531105241733e-06,1.5770624858113137e-06,1.1787584719276182e-06,8.642758520269007e-07,6.225694846450868e-07,4.488448390951406e-07,3.490339668372744e-07
0.42,2.462104e-06,2.1433030603032594e-06,1.6812553619858054e-06,1.2748883135421338e-06,9.496089428180733e-07,6.952261147001485e-07,5.118196269553419e-07,4.06306236827962e-07
0.43,2.582163e-06,2.258047442977972e-06,1.788344015300227e-06,1.3736240028911806e-06,1.0368355984307393e-06,7.700166860131832e-07,5.775791292666872e-07,4.6693218465723615e-07
0.44,2.70513e-06,2.375658677970051e-06,1.8983480583812262e-06,1.4747963430104992e-06,1.1259160333745172e-06,8.471064135871022e-07,6.462422607221348e-07,5.31048627743055e-07
0.45,2.8310109999999998e-06,2.4962257071505013e-06,2.0112562730567307e-06,1.5782275280948426e-06,1.2168763280452185e-06,9.266471423724273e-07,7.179351933684361e-07,5.987703495171894e-07
0.46,2.959816e-06,2.6198369166014798e-06,2.1270170159869367e-06,1.6837538917446159e-06,1.3097931762347045e-06,1.00876832157546e-06,7.927905630338187e-07,6.701872153026384e-07
0.47000000000000003,3.091559e-06,2.7465634974736643e-06,2.2455401921996025e-06,1.791251407996919e-06,1.4047753985526936e-06,1.093582367526531e-06,8.709446896398472e-07,7.453683581070958e-07
0.48,3.226258e-06,2.876442677451415e-06,2.366707124302414e-06,1.9006538694823998e-06,1.501944456253217e-06,1.1811954819046403e-06,9.525305895562288e-07,8.243681640168863e-07
0.49,3.36393e-06,3.0094608680298643e-06,2.4903839676427344e-06,2.0119572757781324e-06,1.6014172945972312e-06,1.271715656124743e-06,1.0376674126265352e-06,9.072299879277713e-07
0.5,3.504588e-06,3.145547459218143e-06,2.6164412428486334e-06,2.1252159224598656e-06,1.7033010562275858e-06,1.3652593701053091e-06,1.1264553506185976e-06,9.939921859107955e-07
0.51,3.6482360000000002e-06,3.2845762455662436e-06,2.7447701639858297e-06,2.24052787156157e-06,1.807694955418985e-06,1.4619502177770205e-06,1.218972966752162e-06,1.0846907289903257e-06
0.52,3.7948670000000004e-06,3.4263764108782157e-06,2.8752918297434105e-06,2.358014537210149e-06,1.9146963999994818e-06,1.5619103610614878e-06,1.31527696078079e-06,1.1793581209351686e-06
0.53,3.944471e-06,3.570760663749356e-06,3.00796656067984e-06,2.4778091177018652e-06,2.024416416908476e-06,1.665257494751583e-06,1.4154126474510462e-06,1.278028684991e-06
0.54,4.097031e-06,3.7175479266902704e-06,3.142783837139399e-06,2.6000379865622715e-06,2.136980075372835e-06,1.7720911648992894e-06,1.5194132276958232e-06,1.3807311187476296e-06
0.55,4.2525290000000005e-06,3.866596083795326e-06,3.279757596490206e-06,2.7248186394492562e-06,2.252531136395961e-06,1.882493378907352e-06,1.627308091163587e-06,1.487491191837511e-06
0.56,4.410953e-06,4.017826764705107e-06,3.4189184307416592e-06,2.852260667175094e-06,2.37122773275043e-06,1.996531770059919e-06,1.7391263924680111e-06,1.5983323169429403e-06
0.5700000000000001,4.5722969999999995e-06,4.171231357212548e-06,3.5603014267938523e-06,2.9824619793116176e-06,2.4932255417482603e-06,2.114259035252729e-06,1.854890734340712e-06,1.7132688400093049e-06
0.58,4.736575e-06,4.326880916043881e-06,3.7039561294244415e-06,3.1155214851589872e-06,2.6186754483638827e-06,2.2357301217108617e-06,1.9746258349707514e-06,1.8323157456109827e-06
0.59,4.903808e-06,4.4849027506744196e-06,3.8499414789543945e-06,3.2515290973683697e-06,2.7477016907468844e-06,2.3609971500862974e-06,2.098346319824142e-06,1.95547729227073e-06
0.6,5.0740300000000004e-06,4.645472709505072e-06,3.998348497922831e-06,3.3905777600194123e-06,2.8804077695212964e-06,2.4901248925162778e-06,2.2260696678671474e-06,2.082759344891539e-06
0.61,5.2472680000000005e-06,4.8087808297477635e-06,4.14930052547867e-06,3.532752324426171e-06,3.016864685693507e-06,2.6231797134380907e-06,2.357808408581833e-06,2.214159194958926e-06
0.62,5.423542e-06,4.975016677300397e-06,4.30296736695838e-06,3.6781377248796306e-06,3.157121491829137e-06,2.760233087653847e-06,2.4935815738638975e-06,2.3496736399771367e-06
0.63,5.60286e-06,5.144350258893863e-06,4.459562496165817e-06,3.826820374741894e-06,3.301209148011039e-06,2.901353712523536e-06,2.633416654956174e-06,2.4892981049421936e-06
0.64,5.7852149999999995e-06,5.31691627802466e-06,4.619326630314286e-06,3.978887608051742e-06,3.449140578138758e-06,3.0465945760128207e-06,2.7773450896346967e-06,2.6330214973891777e-06
0.65,5.970599000000001e-06,5.492821365929314e-06,4.7825188372186785e-06,4.1344437737738705e-06,3.6009257290245184e-06,3.1959965091484005e-06,2.925410098475444e-06,2.7808367725541566e-06
0.66,6.158998e-06,5.672141972588895e-06,4.949387628959527e-06,4.293609368394126e-06,3.756570101350858e-06,3.349578013373793e-06,3.0776553354245076e-06,2.932735848099653e-06
0.67,6.3503940000000005e-06,5.854935183054973e-06,5.120153470376605e-06,4.456526971562527e-06,3.9160835493219555e-06,3.507338264834346e-06,3.2341215544601144e-06,3.088715152262614e-06
0.68,6.544769e-06,6.0412506621225005e-06,5.2949987368519565e-06,4.6233634453453446e-06,4.079491004939772e-06,3.6692644624748736e-06,3.3948440198018092e-06,3.2487827305547727e-06
0.6900000000000001,6.742099999999999e-06,6.231128433647111e-06,5.474055866441944e-06,4.7942960774715645e-06,4.246832933699709e-06,3.835331056574334e-06,3.559840414635419e-06,3.412954454763775e-06
0.7000000000000001,6.942366e-06,6.4246028696152775e-06,5.6574141608330035e-06,4.969504586006876e-06,4.41817488405701e-06,4.005510538713976e-06,3.7291111281680803e-06,3.581259119042523e-06
0.71,7.14555e-06,6.6216970009728205e-06,5.8451262736525585e-06,5.149155361979827e-06,4.593608111309165e-06,4.179778593303553e-06,3.902636488353384e-06,3.75373549177621e-06
0.72,7.351642999999999e-06,6.822417171889269e-06,6.037217428492125e-06,5.33338815346629e-06,4.773246671520345e-06,4.358119687516913e-06,4.080378146868094e-06,3.930427916379138e-06
0.73,7.560654e-06,7.026754996111223e-06,6.233698401362786e-06,5.522312650811589e-06,4.957225182093341e-06,4.540537172874096e-06,4.2622892294648725e-06,4.111385472911212e-06
0.74,7.772604e-06,7.234680421214255e-06,6.434561162907896e-06,5.715997373282208e-06,5.145679106393252e-06,4.72704834823576e-06,4.448313694840278e-06,4.29664648989563e-06
0.75,7.987535e-06,7.446159269881961e-06,6.639790753393454e-06,5.914483996970074e-06,5.338743309493281e-06,4.91769769912056e-06,4.638407613883953e-06,4.486243244858258e-06
0.76,8.205494e-06,7.661154323146938e-06,6.849355408004323e-06,6.117785281212684e-06,5.536531772255267e-06,5.112548178890943e-06,4.832541162064464e-06,4.6801882590714e-06
0.77,8.426528e-06,7.879639497820604e-06,7.063210918105064e-06,6.3258971537194e-06,5.739134291129703e-06,5.3116838808355475e-06,5.030713039349347e-06,4.878476642031137e-06
0.78,8.650675e-06,8.101603481301502e-06,7.281300419341025e-06,6.53880155438726e-06,5.9466105564537705e-06,5.515203393594514e-06,5.2329545180597295e-06,5.081084099819906e-06
0.79,8.877966e-06,8.327052565224019e-06,7.503562255842578e-06,6.756470904488179e-06,6.158993655805833e-06,5.723216584403482e-06,5.439333710584297e-06,5.2879728260365956e-06
0.8,9.108423e-06,8.55599975824764e-06,7.729930714786063e-06,6.978860613762663e-06,6.3762876899847876e-06,5.935831645472038e-06,5.649945218055035e-06,5.499090850458652e-06
0.81,9.342061e-06,8.788458728385567e-06,7.960344141597538e-06,7.2059081886429975e-06,6.598474530283201e-06,6.153150208459129e-06,5.864902384474666e-06,5.714381046132727e-06
0.8200000000000001,9.578887e-06,9.024441621421466e-06,8.194754311642433e-06,7.437537231947046e-06,6.825524141549312e-06,6.375267274365298e-06,6.084329749798007e-06,5.933794964377085e-06
0.8300000000000001,9.81889e-06,9.263949975400553e-06,8.43312404172177e-06,7.673656229807511e-06,7.057395760260774e-06,6.602264402909002e-06,6.308346364627036e-06,6.1572987338849045e-06
0.84,1.0062039999999999e-05,9.506971874191429e-06,8.67542490554163e-06,7.914164514587092e-06,7.294041608993071e-06,6.834207631879562e-06,6.537054432948737e-06,6.384881725606627e-06
0.85,1.030831e-05,9.753497184882831e-06,8.921648150019724e-06,8.158976728638372e-06,7.535425714849228e-06,7.071161606744434e-06,6.770547654245054e-06,6.616579074364595e-06
0.86,1.055764e-05,1.0003474730632859e-05,9.171753842627851e-06,8.407987460943938e-06,7.781481848625005e-06,7.313142744294101e-06,7.008863903505723e-06,6.852430618120531e-06
0.87,1.081e-05,1.0256868259298648e-05,9.425718003617111e-06,8.661131891465576e-06,8.032168963647925e-06,7.560169339920069e-06,7.2520402753318555e-06,7.092533853197991e-06
0.88,1.106537e-05,1.051363077976574e-05,9.68349895358023e-06,8.918360369536373e-06,8.287443732362151e-06,7.81222886246733e-06,7.5000890295568194e-06,7.337010664645228e-06
