time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.0,0.0,3.38062267806866e-08,8.41345047348823e-08,1.3250729322982358e-07,1.7439804699416485e-07,2.0757001340545116e-07,2.3056834429630113e-07,2.4292989271520365e-07
0.01,-4.50479e-10,3.459187181363094e-08,8.551084106169367e-08,1.3441918397666568e-07,1.767778702723896e-07,2.1031967325106731e-07,2.335744413645807e-07,2.460738062851405e-07
0.02,-1.803293e-09,3.51816548928612e-08,8.675060417242078e-08,1.360802321613808e-07,1.788295835117715e-07,2.1267757165860356e-07,2.361446603289231e-07,2.48758092673947e-07
0.03,-4.061285e-09,3.537656040780913e-08,8.784445312334768e-08,1.3746669975055832e-07,1.8052759516104473e-07,2.1461925569837713e-07,2.3825445775492788e-07,2.5095825482726287e-07
0.04,-7.227427e-09,3.498188907464918e-08,8.878891383545686e-08,1.3859226034606158e-07,1.8187380708440113e-07,2.1614940683885927e-07,2.3990844183115017e-07,2.5267898905857725e-07
0.05,-1.130477e-08,3.38054266205953e-08,8.95263111129853e-08,1.3946783855108007e-07,1.8285736337451985e-07,2.1725986327915875e-07,2.4109897130894096e-07,2.539126628362615e-07
0.06,-1.6296330000000002e-08,3.170724916515655e-08,8.995774528260399e-08,1.4011686988853675e-07,1.8347874034404364e-07,2.1794974550509161e-07,2.418271227008652e-07,2.546602092181928e-07
0.07,-2.220497e-08,2.8601046216438713e-08,8.993706419783147e-08,1.4055030609401044e-07,1.837409619901565e-07,2.1821215524861023e-07,2.4208964623779127e-07,2.5491825037283057e-07
0.08,-2.9033330000000002e-08,2.4459722118419616e-08,8.929884762324811e-08,1.4076010128669246e-07,1.8366107631202717e-07,2.1804373548130806e-07,2.4188731017996643e-07,2.5468800836135843e-07
0.09,-3.678394e-08,1.9293984459059507e-08,8.787780296158422e-08,1.406996817841852e-07,1.8326252925793263e-07,2.1744056015665132e-07,2.4121770578035147e-07,2.539689284151972e-07
0.1,-4.545922e-08,1.3135698738787023e-08,8.55379254212805e-08,1.4028303186928653e-07,1.8257362531550325e-07,2.1640661326039975e-07,2.400795388112798e-07,2.5276355163567373e-07
0.11,-5.5061779999999996e-08,6.0145629322236406e-09,8.218465772758933e-08,1.3938534667795314e-07,1.8161257392392674e-07,2.1495343549807104e-07,2.3846886332078074e-07,2.5107334378466505e-07
0.12,-6.559471e-08,-2.0521484260925307e-09,7.777186093907246e-08,1.3786048112763896e-07,1.8037754917912286e-07,2.1310483231649704e-07,2.363836264832017e-07,2.4890124082614767e-07
0.13,-7.706203000000001e-08,-1.1065962112300577e-08,7.229161820154425e-08,1.355589362601238e-07,1.7883319810830693e-07,2.108922728098192e-07,2.3382405123252808e-07,2.462483895050224e-07
0.14,-8.946901e-08,-2.1041826738730218e-08,6.57608093152831e-08,1.3235069919744689e-07,1.7690767744530749e-07,2.0835035311222114e-07,2.3079848687884318e-07,2.431155871194587e-07
0.15,-1.028223e-07,-3.200169442080446e-08,5.820196486974985e-08,1.281388249969631e-07,1.7449419122179264e-07,2.0550464404959748e-07,2.2732496915570014e-07,2.3950141074898685e-07
0.16,-1.1712970000000001e-07,-4.396475285723707e-08,4.9631105123819475e-08,1.2286725218535513e-07,1.7146425277928343e-07,2.023616761489173e-07,2.2343416624755793e-07,2.3540489954828452e-07
0.17,-1.323999e-07,-5.694341767807834e-08,4.004924582560082e-08,1.1651534759551832e-07,1.6768308334932342e-07,1.988975521587843e-07,2.1916528965313232e-07,2.308261480572227e-07
0.18,-1.486413e-07,-7.09409172673524e-08,2.944442424216808e-08,1.0908796002623392e-07,1.630290954661026e-07,1.9505489911306918e-07,2.1456077802618068e-07,2.2577111355904016e-07
0.19,-1.658615e-07,-8.595508001103904e-08,1.7796284127548346e-08,1.0059946227917377e-07,1.5740671832944876e-07,1.9074411102107236e-07,2.0965445081429306e-07,2.202539141577951e-07
0.2,-1.840663e-07,-1.0198174425577294e-07,5.0851302196872765e-09,9.106202668378234e-08,1.5075461288845354e-07,1.858542670437913e-07,2.0446084443435877e-07,2.1430101585821768e-07
0.21,-2.032602e-07,-1.1901992305735528e-07,-8.703014498909493e-09,8.047660319703794e-08,1.4304307692817982e-07,1.8026627368827946e-07,1.9896378056573707e-07,2.079508607183882e-07
0.22,-2.234462e-07,-1.370725435778629e-07,-2.3572290174967322e-08,6.883313222649827e-08,1.3426739964114763e-07,1.7386971811278118e-07,1.9311276435937565e-07,2.0125318178859107e-07
0.23,-2.44627e-07,-1.5614711413380955e-07,-3.951960515778042e-08,5.611341597030773e-08,1.2443494806275112e-07,1.6657380272734694e-07,1.868239254347427e-07,1.9426198495735104e-07
0.24,-2.668054e-07,-1.7625242091312986e-07,-5.6537564012376217e-08,4.229909272432211e-08,1.1355505984051041e-07,1.583145894671252e-07,1.799910930808889e-07,1.870278484960769e-07
0.25,-2.899842e-07,-1.9739647622262615e-07,-7.462008355852016e-08,2.737706607921396e-08,1.0163030016437153e-07,1.490530949286177e-07,1.7250057526819965e-07,1.79586316847925e-07
0.26,-3.1416579999999997e-07,-2.1958394532632027e-07,-9.376516538083637e-08,1.134359111124671e-08,8.865411768998403e-08,1.3876929245672995e-07,1.642495643020384e-07,1.7194805940256787e-07
0.27,-3.3935159999999996e-07,-2.42815459110792e-07,-1.1397584000539067e-07,-5.7960662073907585e-09,7.461223879267161e-08,1.274529602132264e-07,1.5516138829747927e-07,1.6409080013484005e-07
0.28,-3.6554209999999997e-07,-2.6708841902280586e-07,-1.352583516923365e-07,-2.4030804884042823e-08,5.948698127327715e-08,1.1509606578984328e-07,1.4519456371962593e-07,1.5595589398959384e-07
0.29,-3.9273770000000003e-07,-2.9239886026188437e-07,-1.5761918444022868e-07,-4.3348698189133156e-08,4.3261567608925366e-08,1.0168883358446e-07,1.3434260774058643e-07,1.474498062638048e-07
0.3,-4.209397e-07,-3.187431716793372e-07,-1.8106147897920298e-07,-6.374106439242365e-08,2.5923637815142125e-08,8.722140476583914e-08,1.22625639793225e-07,1.384512085252759e-07
0.31,-4.5015020000000003e-07,-3.4611930694767195e-07,-2.0558299453852626e-07,-8.52050883921289e-08,7.466431338638714e-09,7.168899423505935e-08,1.1007533866997079e-07,1.2882138706298072e-07
0.32,-4.803725e-07,-3.7452716976022595e-07,-2.311760297970827e-07,-1.0774414385274203e-07,-1.2111493723196661e-08,5.509811895592799e-08,9.671777426134795e-08,1.1841619680937851e-07
0.33,-5.116094999999999e-07,-4.039679800899199e-07,-2.5782949066936533e-07,-1.3136638482214305e-07,-3.280710842353509e-08,3.7470327319738525e-08,8.255837702441684e-08,1.0709692975279098e-07
0.34,-5.438627e-07,-4.3444334248769925e-07,-2.8553243076902674e-07,-1.5608240568026804e-07,-5.4613181909921155e-08,1.8840991209772974e-08,6.757274130847342e-08,9.473823368551563e-08
0.35000000000000003,-5.771307e-07,-4.6595299601432304e-07,-3.1427683873210296e-07,-1.8190166802287912e-07,-7.751641670015028e-08,-7.464307185451665e-10,5.170612965062969e-08,8.123315283125309e-08
0.36,-6.114108e-07,-4.984943434491481e-07,-3.44060634947639e-07,-2.088302940047535e-07,-1.0149598109342777e-07,-2.1251304380229782e-08,3.4879184296888605e-08,6.649330822427388e-08
0.37,-6.466995e-07,-5.320614509811892e-07,-3.7488759461213064e-07,-2.3686795311758836e-07,-1.2652126453058242e-07,-4.264653416531018e-08,1.6999854155024718e-08,5.044755141190322e-08
0.38,-6.82995e-07,-5.666471401295879e-07,-4.0676694533218786e-07,-2.66006837616078e-07,-1.5255331147122536e-07,-6.49286083120406e-08,-2.0249194247996398e-09,3.303750961078196e-08
0.39,-7.202990999999999e-07,-6.022452813900405e-07,-4.3971057045590687e-07,-2.9623041827415845e-07,-1.7954858637823165e-07,-8.812191973307393e-08,-2.2278881266567332e-08,1.421371275499232e-08
0.4,-7.586191e-07,-6.388535788270958e-07,-4.737289168386288e-07,-3.275126290365228e-07,-2.0746536584977602e-07,-1.1227659213500167e-07,-4.383022386184073e-08,-6.067050882428912e-09
0.41000000000000003,-7.979687e-07,-6.764763801401182e-07,-5.088270941350873e-07,-3.5981856236895085e-07,-2.3627212654480182e-07,-1.3746124601492428e-07,-6.673079516492657e-08,-2.7843379207055713e-08
0.42,-8.383677e-07,-7.151264407323145e-07,-5.450015036161897e-07,-3.9310659189490675e-07,-2.659552234601775e-07,-1.6375246469754461e-07,-9.101922735021671e-08,-5.114943621331783e-08
