time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.0,0.0,2.1678923526196823e-07,5.628806694411714e-07,9.026013427638731e-07,1.198514959626182e-06,1.433231806703422e-06,1.596483545982546e-06,1.6864181652202195e-06
0.005,3.8200209999999997e-10,2.19658089982646e-07,5.709015718787841e-07,9.156889732910208e-07,1.2160147698338376e-06,1.454231597976857e-06,1.6199176592649597e-06,1.7111933459538585e-06
0.01,1.526748e-09,2.2246552017390694e-07,5.786763162358398e-07,9.283977547092584e-07,1.2330127535348292e-06,1.474633301955675e-06,1.6426866251520857e-06,1.7352664681061218e-06
0.015,3.43118e-09,2.2527706086340474e-07,5.86212672113333e-07,9.407435797157547e-07,1.249521731619591e-06,1.494448603653838e-06,1.6648012511555768e-06,1.758647873187957e-06
0.02,6.0926859999999995e-09,2.2814973760095507e-07,5.934929895550103e-07,9.527183504679783e-07,1.2655310958583398e-06,1.513665591027139e-06,1.686248818616314e-06,1.7813243804629557e-06
0.025,9.510898999999999e-09,2.3116161675004132e-07,6.005103370984871e-07,9.643229388626813e-07,1.2810407556981765e-06,1.5322825152295467e-06,1.707026878363118e-06,1.803293081493677e-06
0.03,1.3684549999999999e-08,2.343903053683922e-07,6.072535821508684e-07,9.755488665164955e-07,1.2960436872529759e-06,1.550290205947146e-06,1.7271256639447473e-06,1.8245437548453748e-06
0.035,1.8607560000000002e-08,2.3792317819375504e-07,6.137248015996733e-07,9.863926282733633e-07,1.3105408873011113e-06,1.5676870405243607e-06,1.746543025551092e-06,1.845073815073257e-06
0.04,2.427586e-08,2.418443579818242e-07,6.199327712568874e-07,9.968466252837795e-07,1.3245324931400516e-06,1.584470240338902e-06,1.7652756383373872e-06,1.864879542162225e-06
0.045,3.069407e-08,2.462277011186638e-07,6.258915939808416e-07,1.0068962199555036e-06,1.338014490837602e-06,1.6006329514740316e-06,1.7833159570740863e-06,1.883953063906376e-06
