time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.0,0.0,-3.824351071383917e-07,-9.915485256087934e-07,-1.5921087555597495e-06,-2.119521052800879e-06,-2.5417069837609225e-06,-2.838009717205881e-06,-3.002693124750147e-06
0.005,-7.887778e-10,-3.815935315380284e-07,-9.904896568313093e-07,-1.5908818275057953e-06,-2.1181398541855456e-06,-2.540203557529963e-06,-2.83642041349761e-06,-3.0010561265507127e-06
0.01,-3.154971e-09,-3.8050028778508184e-07,-9.882951111258724e-07,-1.587893836606803e-06,-2.1144108765104438e-06,-2.535888150452912e-06,-2.8316929627126194e-06,-2.99609980326073e-06
0.015,-7.097712e-09,-3.794352310754606e-07,-9.849758929050787e-07,-1.5831947364117259e-06,-2.108384738610505e-06,-2.5288121216169797e-06,-2.8238800972388145e-06,-2.9878775100786984e-06
0.02,-1.261524e-08,-3.786789157845748e-07,-9.80511468123182e-07,-1.5767775262429757e-06,-2.1000682911852616e-06,-2.5189807011161436e-06,-2.812989202140038e-06,-2.976397386003745e-06
0.025,-1.970741e-08,-3.785393576448751e-07,-9.749461420985507e-07,-1.5686447075821752e-06,-2.0894965237474e-06,-2.5064252669783915e-06,-2.7990541576673583e-06,-2.961694342126457e-06
0.03,-2.837624e-08,-3.7927439150265235e-07,-9.683676119388696e-07,-1.558769302457284e-06,-2.076690925401449e-06,-2.4911649767768647e-06,-2.7820957876448746e-06,-2.943790749861895e-06
0.035,-3.861985e-08,-3.810896446034139e-07,-9.609383333844954e-07,-1.547128466847858e-06,-2.0616809534219795e-06,-2.4732341667735587e-06,-2.762147836019596e-06,-2.922722602564789e-06
0.04,-5.0432469999999996e-08,-3.8411430199753974e-07,-9.528752084494777e-07,-1.5337053532280887e-06,-2.044486121877666e-06,-2.45267100977496e-06,-2.7392448301763126e-06,-2.8985272154149987e-06
0.045,-6.381538e-08,-3.8840659737538326e-07,-9.444332610619065e-07,-1.5185104206427987e-06,-2.0251150610014546e-06,-2.4295209322401308e-06,-2.7134264008622835e-06,-2.8712468336072846e-06
0.05,-7.877693e-08,-3.9395980073532087e-07,-9.358681364305035e-07,-1.5015880755817795e-06,-2.003553884476277e-06,-2.403824139754708e-06,-2.6847280246036096e-06,-2.8409181004118903e-06
0.055,-9.53161e-08,-4.007391234654609e-07,-9.274218249676825e-07,-1.4830424155888472e-06,-1.979784092706276e-06,-2.3756257393780868e-06,-2.6531965437087414e-06,-2.8075860966896343e-06
0.06,-1.1342e-07,-4.0870547415492413e-07,-9.193002131934787e-07,-1.4630403491728423e-06,-1.9537922400408122e-06,-2.344970830991895e-06,-2.618891599567509e-06,-2.771304743591583e-06
0.065,-1.330861e-07,-4.178242623580678e-07,-9.116515894873242e-07,-1.4417955053885785e-06,-1.925575060937466e-06,-2.3118908346884686e-06,-2.5818771605513295e-06,-2.7321285963760407e-06
0.07,-1.543269e-07,-4.280675591711944e-07,-9.045544701222586e-07,-1.4195413737943104e-06,-1.8951444751078514e-06,-2.2763898685066765e-06,-2.542209477317462e-06,-2.6901030672692537e-06
0.075,-1.771418e-07,-4.3943964368915575e-07,-8.980466750301186e-07,-1.396530122216501e-06,-1.8625622885836806e-06,-2.2384662023337135e-06,-2.499954521765067e-06,-2.6452864026325463e-06
0.08,-2.01512e-07,-4.5197678624182996e-07,-8.921452998998279e-07,-1.3730133995618065e-06,-1.8279530254956293e-06,-2.198121596035546e-06,-2.4551869442113147e-06,-2.59775496119678e-06
0.085,-2.274362e-07,-4.6571639824154513e-07,-8.868460365085205e-07,-1.3492028293554274e-06,-1.7914853535316053e-06,-2.1553513849129334e-06,-2.407964409018099e-06,-2.547584357790246e-06
0.09,-2.549365e-07,-4.806810063789746e-07,-8.821326520589004e-07,-1.325250637033913e-06,-1.7533576045111087e-06,-2.1101503123871956e-06,-2.3583150970824027e-06,-2.4948423061584275e-06
0.095,-2.840137e-07,-4.96895137230299e-07,-8.780103778808465e-07,-1.3012695675098693e-06,-1.7138059972595792e-06,-2.0625492359197674e-06,-2.306257692599775e-06,-2.4396103155604132e-06
0.1,-3.146388e-07,-5.143960065704748e-07,-8.745261828175604e-07,-1.2773545168395462e-06,-1.6731015196324404e-06,-2.0126428008287237e-06,-2.251818471277993e-06,-2.3819970328549866e-06
0.105,-3.4680910000000004e-07,-5.331916506449196e-07,-8.717297663452202e-07,-1.2535567895604046e-06,-1.631492487963176e-06,-1.9605585093524496e-06,-2.1949995722541004e-06,-2.3220964602857678e-06
0.11,-3.8055220000000004e-07,-5.532541429958388e-07,-8.696551673791562e-07,-1.2298876894546962e-06,-1.5891762859503373e-06,-1.9064450426292078e-06,-2.135777975593793e-06,-2.2599711371725217e-06
0.115,-4.158664e-07,-5.745824445248192e-07,-8.683652954135442e-07,-1.2063872601912672e-06,-1.546343110279943e-06,-1.8505193485216548e-06,-2.074173823432233e-06,-2.1957010761120685e-06
0.12,-4.527244e-07,-5.971874463874875e-07,-8.67925134368416e-07,-1.1831153657504078e-06,-1.5031539050470762e-06,-1.793034334833814e-06,-2.0102463383604803e-06,-2.1293601294877186e-06
0.125,-4.911273e-07,-6.210693076254238e-07,-8.683740560041201e-07,-1.1601322984323207e-06,-1.4597207653549653e-06,-1.7342384421075875e-06,-1.944083000733404e-06,-2.060989547002203e-06
0.13,-5.311011e-07,-6.462192292569706e-07,-8.697234546677816e-07,-1.1374961999504806e-06,-1.416114736795203e-06,-1.674357456959152e-06,-1.8758059976607373e-06,-1.9905966355318056e-06
0.135,-5.726377999999999e-07,-6.726502993392578e-07,-8.719876004085999e-07,-1.1152866547547655e-06,-1.372406338059707e-06,-1.6136101686678702e-06,-1.80560205034307e-06,-1.918187397846628e-06
0.14,-6.156943e-07,-7.004068390191338e-07,-8.752029087162078e-07,-1.0936109933366098e-06,-1.3286905111724204e-06,-1.5522149556874188e-06,-1.73372937362866e-06,-1.8437877653755179e-06
0.145,-6.602674000000001e-07,-7.29510034486627e-07,-8.793888203666072e-07,-1.0725508136086665e-06,-1.2850485301518142e-06,-1.4903431739084847e-06,-1.6604573507644596e-06,-1.7674076156469642e-06
0.15,-7.063966000000001e-07,-7.599424899558e-07,-8.845376601714839e-07,-1.0521427310956814e-06,-1.2415370422170012e-06,-1.4281100899936878e-06,-1.5860326094368688e-06,-1.689037755945689e-06
0.155,-7.540764e-07,-7.917174344176516e-07,-8.906811079126487e-07,-1.0324430686233117e-06,-1.1982534533417753e-06,-1.3656502504839113e-06,-1.5107240394948016e-06,-1.6087274358219318e-06
0.16,-8.0327e-07,-8.248780253732695e-07,-8.978912382448673e-07,-1.0135309530287649e-06,-1.1553342563866417e-06,-1.3031293362066824e-06,-1.4348057170643212e-06,-1.5265958333454035e-06
0.165,-8.54008e-07,-8.594141690140258e-07,-9.061982775377363e-07,-9.95431195957396e-07,-1.1128700676202567e-06,-1.2406712449964548e-06,-1.3584629579002677e-06,-1.442757826146281e-06
0.17,-9.063503e-07,-8.952940190353913e-07,-9.156091774985542e-07,-9.781426460315652e-07,-1.070925410620747e-06,-1.1783844873211265e-06,-1.2818101900901148e-06,-1.3573494808386986e-06
0.17500000000000002,-9.60265e-07,-9.325413654645832e-07,-9.261722887022626e-07,-9.617128703997173e-07,-1.0296073500134945e-06,-1.116429904887351e-06,-1.2049644018279961e-06,-1.2705960629422275e-06
0.18,-1.015665e-06,-9.712147235891922e-07,-9.379605371524004e-07,-9.462251851110508e-07,-9.890508480947548e-07,-1.0549978448837566e-06,-1.1280406344613865e-06,-1.1827904823244826e-06
0.185,-1.072542e-06,-1.0113229559377444e-06,-9.50997838094161e-07,-9.31724127001395e-07,-9.493455976186218e-07,-9.942224430892753e-07,-1.051092554342322e-06,-1.094208723801912e-06
0.19,-1.130965e-06,-1.052841740000764e-06,-9.65273695154682e-07,-9.182300899045538e-07,-9.105522135056621e-07,-9.341854439944781e-07,-9.741442511198874e-07,-1.0051132194458965e-06
0.195,-1.190941e-06,-1.0957781465950064e-06,-9.808004273272566e-07,-9.057976285014995e-07,-8.727609016768076e-07,-8.749670918437336e-07,-8.972644917182087e-07,-9.158004355559714e-07
0.2,-1.25241e-06,-1.140199387511819e-06,-9.976472199412515e-07,-8.945471212839354e-07,-8.361220693688026e-07,-8.166764552883708e-07,-8.206107939108055e-07,-8.266242374919108e-07
0.20500000000000002,-1.315397e-06,-1.1861118355959887e-06,-1.0158325471490296e-06,-8.845516839157674e-07,-8.007301491326542e-07,-7.593434271147851e-07,-7.443228740442688e-07,-7.378771879029644e-07
0.21,-1.379984e-06,-1.2334566596807739e-06,-1.0353163160563113e-06,-8.758269728262959e-07,-7.666078327435966e-07,-7.029184892991639e-07,-6.685117608756538e-07,-6.497767391007958e-07
0.215,-1.446122e-06,-1.2822606447651532e-06,-1.0561425549119152e-06,-8.684733196288752e-07,-7.33842898008022e-07,-6.4742913127347e-07,-5.933965179302518e-07,-5.626070891638402e-07
0.22,-1.513695e-06,-1.3326004379570464e-06,-1.0784165519958631e-06,-8.626464796185098e-07,-7.02557495962397e-07,-5.929679443260324e-07,-5.192683450459351e-07,-4.766938292709021e-07
0.225,-1.5827429999999998e-06,-1.3844439237689412e-06,-1.102160766474746e-06,-8.584046403368155e-07,-6.727579804115053e-07,-5.395560868735803e-07,-4.4633087895196684e-07,-3.9225687974266557e-07
0.23,-1.653362e-06,-1.4376963475979326e-06,-1.1273459381975973e-06,-8.557373691102493e-07,-6.443699632745885e-07,-4.8718399153e-07,-3.747230997084984e-07,-3.0944499504899515e-07
0.23500000000000001,-1.725493e-06,-1.4924188122015781e-06,-1.1540915886968693e-06,-8.547670818151059e-07,-6.174503259033853e-07,-4.360197574078065e-07,-3.047184133220716e-07,-2.2854311560430446e-07
0.24,-1.7990399999999999e-06,-1.5486552565633258e-06,-1.1825003318726084e-06,-8.55579109914505e-07,-5.920319365092712e-07,-3.8624142000776635e-07,-2.3655685343834174e-07,-1.4980832744011266e-07
0.245,-1.874077e-06,-1.6064032424837398e-06,-1.2126305693433387e-06,-8.581922909819539e-07,-5.681083319194019e-07,-3.3800341788962874e-07,-1.7041916680026842e-07,-7.34433222601355e-08
