time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.0,0.0,-4.540051053190088e-08,-1.2235660698154547e-07,-2.0015615978658005e-07,-2.691542523353732e-07,-3.246724870298013e-07,-3.6394042148048204e-07,-3.865192208355988e-07
0.005,1.502564e-10,-4.689934954570666e-08,-1.2616822999807092e-07,-2.062965401346109e-07,-2.7736145818996385e-07,-3.345424343264555e-07,-3.7498645722706096e-07,-3.982414912441416e-07
0.01,6.009241e-10,-4.832118063397909e-08,-1.2986852298145908e-07,-2.1224103581559717e-07,-2.853062933985175e-07,-3.440951632713021e-07,-3.856766151843206e-07,-4.0958562623472063e-07
0.015,1.351982e-09,-4.9613165976517086e-08,-1.3345564462881802e-07,-2.179777118834738e-07,-2.929758985072811e-07,-3.53316829779991e-07,-3.95996182942087e-07,-4.2053645339488187e-07
0.02,2.403607e-09,-5.072150129976218e-08,-1.3693346074470033e-07,-2.2350516576598408e-07,-3.003652917765944e-07,-3.6220223395871874e-07,-4.0593899776114117e-07,-4.3108739329514593e-07
0.025,3.756004e-09,-5.1588462888547455e-08,-1.4029529522929818e-07,-2.288223799364891e-07,-3.074658690250254e-07,-3.707433174836205e-07,-4.1549603429663125e-07,-4.412290112523691e-07
0.03,5.409277e-09,-5.216421672942447e-08,-1.4352497544632482e-07,-2.3393349071604381e-07,-3.142704697419139e-07,-3.78933558593099e-07,-4.246600865156544e-07,-4.509536291474252e-07
0.035,7.364077e-09,-5.2409832488761016e-08,-1.4659325866566522e-07,-2.3884413333945147e-07,-3.207720100694875e-07,-3.8676528595563285e-07,-4.3342346538886684e-07,-4.602529549730592e-07
0.04,9.621203e-09,-5.2301976662784044e-08,-1.4946178992782946e-07,-2.4356134146759404e-07,-3.269673574969987e-07,-3.9423198554916e-07,-4.4178058836795724e-07,-4.691206799322067e-07
0.045,1.21799e-08,-5.1829103108495574e-08,-1.5208349871336046e-07,-2.480867593479215e-07,-3.3285519305835576e-07,-4.0132495511304134e-07,-4.4972455401986005e-07,-4.7754919818642e-07
0.05,1.50391e-08,-5.099047920470629e-08,-1.5440946797639215e-07,-2.524150440185955e-07,-3.3843841065551785e-07,-4.080355269778865e-07,-4.572487401695236e-07,-4.855315114985527e-07
0.055,1.819869e-08,-4.979346418926737e-08,-1.5639547145390477e-07,-2.565326258995378e-07,-3.437249307519957e-07,-4.1435717173356036e-07,-4.64347719667129e-07,-4.930625538433675e-07
0.06,2.165812e-08,-4.824630325212525e-08,-1.5800367538326015e-07,-2.6041412381311533e-07,-3.4872339959847977e-07,-4.202839984224907e-07,-4.710142319023977e-07,-5.001365339013351e-07
0.065,2.54166e-08,-4.635622341746083e-08,-1.5920681166569037e-07,-2.6402495866705225e-07,-3.5344213461227483e-07,-4.2581356632588734e-07,-4.772405538541064e-07,-5.067484380742711e-07
0.07,2.947501e-08,-4.4126677062259636e-08,-1.5998818533446607e-07,-2.6732371317702407e-07,-3.578855251801273e-07,-4.309473689113333e-07,-4.830181847528595e-07,-5.128934128951372e-07
0.075,3.383575e-08,-4.155849346581746e-08,-1.6034208977867432e-07,-2.7026801394344074e-07,-3.6205291505025015e-07,-4.3569295016460387e-07,-4.883403014794712e-07,-5.1856836306027e-07
0.08,3.849941e-08,-3.864761327164171e-08,-1.6026835375210697e-07,-2.7281622357774824e-07,-3.6593381580715465e-07,-4.4006053835723893e-07,-4.93200147580702e-07,-5.237689580702721e-07
0.085,4.3464819999999995e-08,-3.53862694795514e-08,-1.5976833942048242e-07,-2.749306813044959e-07,-3.6950657929817276e-07,-4.4406072951294443e-07,-4.975917994226401e-07,-5.284887028960605e-07
0.09,4.873174e-08,-3.176942765547458e-08,-1.588461553639689e-07,-2.765846656188743e-07,-3.7274370122831923e-07,-4.477063690094625e-07,-5.015159792911343e-07,-5.327231282284714e-07
0.095,5.429991e-08,-2.7791604877975618e-08,-1.575016697222257e-07,-2.7775844328270644e-07,-3.7560939631764296e-07,-4.510048394701106e-07,-5.049763072865477e-07,-5.364649729294783e-07
