time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.0,0.0,7.833932335874323e-08,2.03101450958676e-07,3.2611169212628964e-07,4.34139354948972e-07,5.206139506127129e-07,5.813044187705999e-07,6.150358453175151e-07
0.005,1.255698e-10,8.055870178485552e-08,2.0903205830854582e-07,3.357087450428957e-07,4.4695522322400507e-07,5.360066359442237e-07,5.985055773162141e-07,6.332421491907804e-07
0.01,5.026944e-10,8.270817938135238e-08,2.1470500266866128e-07,3.4490212402143655e-07,4.592332331047263e-07,5.507549171442574e-07,6.149874950034362e-07,6.506876347877469e-07
0.015,1.131944e-09,8.483017727821769e-08,2.2011595374460758e-07,3.536898538823017e-07,4.7096812336859476e-07,5.648509399573936e-07,6.30740632868005e-07,6.673618045757893e-07
0.02,2.013625e-09,8.696689271316507e-08,2.2525517120240397e-07,3.620605979276994e-07,4.821474257423365e-07,5.78279315218708e-07,6.457480749779761e-07,6.832468235190579e-07
0.025,3.1481040000000004e-09,8.9165294450801e-08,2.3012356157363099e-07,3.700049468532471e-07,4.927636308659812e-07,5.910293445620669e-07,6.599976873376982e-07,6.983297021746485e-07
0.03,4.535969e-09,9.146468203278383e-08,2.3472923579147864e-07,3.775091577548549e-07,5.028075192358312e-07,6.030888725745966e-07,6.734757840335549e-07,7.125960021123476e-07
0.035,6.17798e-09,9.389608434334106e-08,2.390923041038688e-07,3.8456026797895453e-07,5.12271355236396e-07,6.144484266604057e-07,6.861710420804799e-07,7.260337813937364e-07
0.04,8.074768e-09,9.647770366202874e-08,2.432409195841142e-07,3.911456560307254e-07,5.211453016291907e-07,6.250986825198443e-07,6.980718404096323e-07,7.386309087663075e-07
0.045,1.0226379999999999e-08,9.921726315157044e-08,2.4721008624513895e-07,3.972578533345254e-07,5.294186821743993e-07,6.35032429735233e-07,7.0916836896741e-07,7.503770608383303e-07
