time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.0,0.0,-4.083147317880848e-08,-7.73524025501132e-08,-1.0312221633908561e-07,-1.1251284750000462e-07,-1.031222163390856e-07,-7.73524025501131e-08,-4.083147317880842e-08
0.005,1.100093e-10,-4.013750696436544e-08,-7.568653892992543e-08,-1.0058965662610886e-07,-1.0963106448812364e-07,-1.0058965662610885e-07,-7.568653892992532e-08,-4.013750696436539e-08
0.01,4.400649e-10,-3.9383359047783817e-08,-7.388933518986018e-08,-9.786345230156473e-08,-1.0652909446619318e-07,-9.786345230156471e-08,-7.388933518986007e-08,-3.9383359047783764e-08
0.015,9.902572e-10,-3.8553381817361595e-08,-7.195629262869194e-08,-9.494555458153827e-08,-1.0321176767914293e-07,-9.494555458153826e-08,-7.195629262869185e-08,-3.855338181736154e-08
0.02,1.760722e-09,-3.763731096753925e-08,-6.989088260384094e-08,-9.184622580761008e-08,-9.969239999496959e-08,-9.184622580761007e-08,-6.989088260384086e-08,-3.76373109675392e-08
0.025,2.751597e-09,-3.661907538126841e-08,-6.769282365215972e-08,-8.857234734023325e-08,-9.598106523336434e-08,-8.857234734023324e-08,-6.769282365215965e-08,-3.6619075381268355e-08
0.03,3.963009e-09,-3.5483006054931115e-08,-6.536378402145954e-08,-8.51331951194858e-08,-9.209034136314953e-08,-8.513319511948577e-08,-6.536378402145946e-08,-3.5483006054931075e-08
0.035,5.395092e-09,-3.4210808521716894e-08,-6.290372011581077e-08,-8.153683733376681e-08,-8.803167616811287e-08,-8.15368373337668e-08,-6.29037201158107e-08,-3.421080852171686e-08
0.04,7.047974e-09,-3.2784409752819986e-08,-6.031313752138858e-08,-7.779246779828006e-08,-8.381769672353654e-08,-7.779246779828005e-08,-6.031313752138851e-08,-3.2784409752819946e-08
0.045,8.921743e-09,-3.118475112685993e-08,-5.759123752675971e-08,-7.390859697583837e-08,-7.946037906091644e-08,-7.390859697583836e-08,-5.759123752675964e-08,-3.1184751126859894e-08
0.05,1.101642e-08,-2.9393531011294368e-08,-5.473709167789693e-08,-6.989426019242576e-08,-7.497224504327824e-08,-6.989426019242575e-08,-5.473709167789686e-08,-2.9393531011294322e-08
0.055,1.333196e-08,-2.7392696482598575e-08,-5.1748561381314e-08,-6.575792888222152e-08,-7.036526748153431e-08,-6.57579288822215e-08,-5.1748561381313935e-08,-2.7392696482598542e-08
0.06,1.586835e-08,-2.516565137768421e-08,-4.86230436365655e-08,-6.150822010070078e-08,-6.565158346398777e-08,-6.150822010070078e-08,-4.862304363656543e-08,-2.5165651377684162e-08
0.065,1.8625689999999998e-08,-2.2696989281581645e-08,-4.53567836601856e-08,-5.715312234290246e-08,-6.084272868254817e-08,-5.715312234290243e-08,-4.535678366018553e-08,-2.2696989281581625e-08
0.07,2.160418e-08,-1.9973432671249654e-08,-4.194552775156093e-08,-5.270052583001992e-08,-5.5950183154310196e-08,-5.270052583001992e-08,-4.194552775156089e-08,-1.9973432671249634e-08
0.075,2.480417e-08,-1.698351368930945e-08,-3.838398829148833e-08,-4.815751431643793e-08,-5.098467930708674e-08,-4.815751431643797e-08,-3.8383988291488274e-08,-1.6983513689309422e-08
0.08,2.822599e-08,-1.3718257526492959e-08,-3.4666452211210093e-08,-4.353076697695924e-08,-4.5956621257114986e-08,-4.353076697695928e-08,-3.4666452211210054e-08,-1.371825752649294e-08
0.085,3.186995e-08,-1.0170878817039054e-08,-3.0786479688073595e-08,-3.882600955194422e-08,-4.087554788396782e-08,-3.882600955194426e-08,-3.078647968807357e-08,-1.017087881703902e-08
0.09,3.573626e-08,-6.337166744254233e-09,-2.673742239516471e-08,-3.4048264037242946e-08,-3.575038819971174e-08,-3.4048264037243e-08,-2.6737422395164658e-08,-6.337166744254233e-09
0.095,3.9825e-08,-2.2152101264377705e-09,-2.2512348951456878e-08,-2.920148261733892e-08,-3.0589088386048353e-08,-2.920148261733896e-08,-2.2512348951456865e-08,-2.2152101264377705e-09
0.1,4.413606e-08,2.1944641566531605e-09,-1.8104491192896992e-08,-2.428870105499572e-08,-2.5398744943596833e-08,-2.4288701054995746e-08,-1.8104491192896966e-08,2.1944641566531605e-09
0.105,4.8669190000000005e-08,6.889269908245377e-09,-1.3507216386115733e-08,-1.931171811805949e-08,-2.0185245410253897e-08,-1.931171811805953e-08,-1.3507216386115707e-08,6.889269908245377e-09
0.11,5.342408e-08,1.186450674840839e-08,-8.714507754922965e-09,-1.4271305129023662e-08,-1.4953421158088793e-08,-1.4271305129023702e-08,-8.714507754922939e-09,1.186450674840839e-08
0.115,5.840061999999999e-08,1.7113771258418403e-08,-3.7209935592401744e-09,-9.166988473827268e-09,-9.706752132802215e-09,-9.166988473827307e-09,-3.7209935592401744e-09,1.7113771258418403e-08
0.12,6.359912e-08,2.2629055033017825e-08,1.4776685556254976e-09,-3.997231474888582e-09,-4.447452393922173e-09,-3.9972314748886085e-09,1.4776685556254976e-09,2.2629055033017825e-08
0.125,6.90202e-08,2.8401087410855318e-08,6.884667368468141e-09,1.2405986734721792e-09,8.236781651947888e-10,1.2405986734720998e-09,6.884667368468155e-09,2.8401087410855318e-08
