time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.0,0.0,5.636425411886425e-07,1.040885616446153e-06,1.3600918698414755e-06,1.4723819040914525e-06,1.3600918698414753e-06,1.040885616446152e-06,5.63642541188642e-07
0.005,7.335502e-12,5.539591421812981e-07,1.0228322525591886e-06,1.3363076842519385e-06,1.44657181070885e-06,1.3363076842519382e-06,1.0228322525591875e-06,5.539591421812976e-07
0.01,2.9290849999999996e-11,5.431943530453643e-07,1.0028069847904574e-06,1.3099476104794995e-06,1.4179668540269133e-06,1.3099476104794995e-06,1.0028069847904563e-06,5.431943530453638e-07
0.015,6.583750000000001e-11,5.313747369569784e-07,9.80858547962283e-07,1.281078439885316e-06,1.3866401851462648e-06,1.281078439885316e-06,9.80858547962282e-07,5.313747369569779e-07
0.02,1.1704589999999998e-10,5.18527558769286e-07,9.570373597030441e-07,1.2497697318279494e-06,1.352668371600267e-06,1.2497697318279492e-06,9.57037359703043e-07,5.185275587692855e-07
0.025,1.830059e-10,5.046834223691212e-07,9.313981822430344e-07,1.216096366255166e-06,1.3161339187527262e-06,1.2160963662551658e-06,9.313981822430334e-07,5.046834223691207e-07
0.03,2.637979e-10,4.898748153018432e-07,9.039986867214624e-07,1.1801369898868352e-06,1.277123672068257e-06,1.1801369898868352e-06,9.039986867214614e-07,4.898748153018428e-07
0.035,3.594935e-10,4.7413680457332434e-07,8.749002021278571e-07,1.1419746519891143e-06,1.2357293992459709e-06,1.1419746519891143e-06,8.749002021278561e-07,4.741368045733239e-07
0.04,4.701550999999999e-10,4.5750636620145093e-07,8.441670904185306e-07,1.1016960652943422e-06,1.1920469865205343e-06,1.1016960652943422e-06,8.441670904185296e-07,4.5750636620145045e-07
0.045,5.958495e-10,4.400226378823044e-07,8.118670644027301e-07,1.0593918188137716e-06,1.1461765788857998e-06,1.0593918188137714e-06,8.118670644027293e-07,4.400226378823039e-07
0.05,7.366493999999999e-10,4.217264529469584e-07,7.780707731019867e-07,1.0151558633189629e-06,1.0982219851709947e-06,1.0151558633189627e-06,7.780707731019858e-07,4.2172645294695795e-07
0.055,8.925968e-10,4.026604427422748e-07,7.428519624561359e-07,9.690855851385958e-07,1.0482906669722644e-06,9.690855851385958e-07,7.42851962456135e-07,4.026604427422744e-07
0.06,1.063684e-09,3.8286869265069564e-07,7.062871699506336e-07,9.212814235547811e-07,9.964932678770416e-07,9.21281423554781e-07,7.062871699506329e-07,3.828686926506952e-07
