time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.0,0.0,-5.931944893112239e-09,-1.1672192114649865e-08,-1.689894781694861e-08,-2.138408548488784e-08,-2.4931575585240535e-08,-2.7386374355492344e-08,-2.8641194697671648e-08
0.01,-3.7911870000000003e-10,-5.731001314427146e-09,-1.156945607140075e-08,-1.6910697203435603e-08,-2.149514052785192e-08,-2.5121407053172216e-08,-2.7630787214219383e-08,-2.8913523971880465e-08
0.02,-1.5164039999999999e-09,-5.64961001346297e-09,-1.1382036451307038e-08,-1.678046488107938e-08,-2.142359200468686e-08,-2.509745010319562e-08,-2.7640070902139565e-08,-2.8939868461403322e-08
0.03,-3.4171460000000003e-09,-5.91799786381135e-09,-1.1175818994156719e-08,-1.653779757783662e-08,-2.119432465963676e-08,-2.4883197982399686e-08,-2.7437045978444776e-08,-2.874275644819605e-08
0.04,-6.091866e-09,-6.7332292164842266e-09,-1.1033867300246279e-08,-1.619059498159631e-08,-2.0802824672123272e-08,-2.4471964060881956e-08,-2.7014296161143192e-08,-2.831449308682162e-08
0.05,-9.536488e-09,-8.254282493941506e-09,-1.110751034883128e-08,-1.57844489554812e-08,-2.0265513265866163e-08,-2.3875377741965787e-08,-2.6382420039336917e-08,-2.7665368835774193e-08
0.06,-1.37396e-08,-1.0569251926960122e-08,-1.1589023398176005e-08,-1.540868963241491e-08,-1.961797746903016e-08,-2.3117703378360843e-08,-2.556366132984589e-08,-2.6817179136608612e-08
0.07,-1.869465e-08,-1.3662587697280965e-08,-1.263461196649486e-08,-1.516407209822256e-08,-1.8883862260446354e-08,-2.2198989351174032e-08,-2.455349300976265e-08,-2.576454581605877e-08
0.08,-2.438049e-08,-1.7510515365609137e-08,-1.4387520927831157e-08,-1.521811351756763e-08,-1.8145801315233203e-08,-2.1160664930160965e-08,-2.3383336696024793e-08,-2.4537020308670016e-08
0.09,-3.0794350000000003e-08,-2.2073952129809256e-08,-1.6918070379078973e-08,-1.5745915991336875e-08,-1.751431956816943e-08,-2.0053804194392095e-08,-2.208484579944068e-08,-2.3162149027552007e-08
0.1,-3.795771e-08,-2.7294532439393488e-08,-2.019513550593263e-08,-1.6867645536489968e-08,-1.7094624628675736e-08,-1.891379390134603e-08,-2.0660644928458156e-08,-2.1634126841314294e-08
0.11,-4.5910270000000005e-08,-3.321938554654374e-08,-2.4221997347059127e-08,-1.8731659082480875e-08,-1.708604204100318e-08,-1.7877346209960445e-08,-1.920012741450703e-08,-2.0026873557772404e-08
