time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.0,0.0,-1.0364798474004627e-08,-2.0258526607343892e-08,-2.926776202484009e-08,-3.699867279987404e-08,-4.311338282596041e-08,-4.734465021699489e-08,-4.950754840408393e-08
0.01,1.0278019999999999e-10,-1.0071903100439813e-08,-1.960855208659822e-08,-2.828591690563868e-08,-3.573176059480424e-08,-4.1620936653276125e-08,-4.569611999033604e-08,-4.777922834279532e-08
0.02,4.1235789999999996e-10,-9.657768195453528e-09,-1.8806195226343548e-08,-2.7088719639211136e-08,-3.419316651401061e-08,-3.981200088556333e-08,-4.370002982016267e-08,-4.5687451790444826e-08
0.03,9.26134e-10,-9.06621464894643e-09,-1.784428081146028e-08,-2.5682549150808063e-08,-3.2393746201269054e-08,-3.770035161149597e-08,-4.137209760723305e-08,-4.32489151278442e-08
0.04,1.636672e-09,-8.242353411785878e-09,-1.670338909832574e-08,-2.4072594381014163e-08,-3.034571259207928e-08,-3.53017015817273e-08,-3.8730250844474905e-08,-4.048265282018851e-08
0.05,2.543156e-09,-7.1530336880310295e-09,-1.5355005815747798e-08,-2.226368261301138e-08,-2.8065877562033246e-08,-3.263741461893956e-08,-3.579839059857881e-08,-3.741380465522516e-08
0.06,3.641674e-09,-5.795810982498307e-09,-1.3771108445719188e-08,-2.0260437545976187e-08,-2.5577909540316838e-08,-2.9737807532419072e-08,-3.2609868184031986e-08,-3.407711609661817e-08
0.07,4.9172179999999995e-09,-4.1668552696418755e-09,-1.1906118111328292e-08,-1.803669308259967e-08,-2.2881253954283845e-08,-2.6612565699787015e-08,-2.9178289141328706e-08,-3.048779669061517e-08
0.08,6.3683510000000006e-09,-2.2927850898778392e-09,-9.745051925125473e-09,-1.557495664309265e-08,-1.998612886733555e-08,-2.3287108265999593e-08,-2.5534621676583298e-08,-2.6678778684757014e-08
0.09,8.006072e-09,-2.0518036949443476e-10,-7.29653955462284e-09,-1.2859590968281075e-08,-1.689898464312177e-08,-1.9788176095413644e-08,-2.1713857138327656e-08,-2.2687705621915565e-08
0.1,9.834056999999999e-09,2.0846646241583995e-09,-4.57638951227976e-09,-9.870050098441968e-09,-1.3607596028402026e-08,-1.612660390729072e-08,-1.773877291409571e-08,-1.8541232209296893e-08
0.11,1.1830679999999999e-08,4.557412374150601e-09,-1.6294387203595735e-09,-6.618200316518528e-09,-1.011407775009872e-08,-1.2325418897091242e-08,-1.3648288194253388e-08,-1.4284094851702217e-08
0.12,1.393996e-08,7.228976666284142e-09,1.5318089355629318e-09,-3.1004273840512566e-09,-6.389409353370146e-09,-8.368045631429186e-09,-9.44437449576795e-09,-9.926655017365196e-09
0.13,1.611604e-08,1.0085919569584264e-08,4.885990142667639e-09,6.566814452085951e-10,-2.4282315758534445e-09,-4.247975961606308e-09,-5.138496644878547e-09,-5.491433675271783e-09
0.14,1.837415e-08,1.3097380687878712e-08,8.41919134728723e-09,4.619855972707058e-09,1.7625106850206179e-09,4.373140080707417e-11,-7.344086609135205e-10,-9.94899455481817e-10
0.15,2.077606e-08,1.6197243263494236e-08,1.2086589637205298e-08,8.725118253524101e-09,6.130257225603624e-09,4.480982046921499e-09,3.739175986814934e-09,3.5223716160150862e-09
0.16,2.3319679999999997e-08,1.9344423783408296e-08,1.5842071562643346e-08,1.2918675345395467e-08,1.0616064182371062e-08,9.033560620302925e-09,8.262436025081084e-09,8.033400716685173e-09
0.17,2.5924029999999997e-08,2.2600375360669816e-08,1.9716670490049116e-08,1.723579526760901e-08,1.5240175055650745e-08,1.374378405725081e-08,1.2900583566916214e-08,1.2605203164029751e-08
0.18,2.8551649999999997e-08,2.592966115553653e-08,2.365094363146253e-08,2.162367716665542e-08,1.9934992653700877e-08,1.855376570962821e-08,1.7626601644756025e-08,1.7224449162487558e-08
0.19,3.125785e-08,2.9341464372001164e-08,2.764552767761566e-08,2.608273007615481e-08,2.469373006971787e-08,2.3454209351508366e-08,2.2462863047127722e-08,2.193892308597575e-08
0.2,3.419652e-08,3.278771594892742e-08,3.164962999685756e-08,3.055273693067365e-08,2.945784625768346e-08,2.8377597816760283e-08,2.736725685840216e-08,2.673947347885297e-08
0.21,3.743131e-08,3.6205130145819495e-08,3.556720348761771e-08,3.492124530537555e-08,3.412080741555845e-08,3.320978718560264e-08,3.224040550860452e-08,3.155951564056825e-08
0.22,4.088353e-08,3.982340448789055e-08,3.95685477724898e-08,3.9337566817554856e-08,3.88363229086211e-08,3.810446467386668e-08,3.7240088487960404e-08,3.6580551124771144e-08
0.23,4.458436e-08,4.3566934389134514e-08,4.3547716387599156e-08,4.3669098532984646e-08,4.346959763486245e-08,4.293517679225999e-08,4.2236372019589306e-08,4.168019645004729e-08
