time,X_ground_disp,X_floor_1_abs,X_floor_2_abs,X_floor_3_abs,X_floor_4_abs,X_floor_5_abs,X_floor_6_abs,X_floor_7_abs
0.0,0.0,1.3559278447129498e-07,3.5207525453970303e-07,5.645723832112712e-07,7.496674933053807e-07,8.964833722874377e-07,9.985974122308885e-07,1.0548514540293765e-06
0.005,2.94937e-10,1.369449034557091e-07,3.560288491101691e-07,5.710869120362645e-07,7.584117858055142e-07,9.069964924438102e-07,1.01034078440057e-06,1.0672725711567941e-06
0.01,1.178471e-09,1.382637064621907e-07,3.5982869121082166e-07,5.773670454823346e-07,7.668457263608248e-07,9.171400063678628e-07,1.021673255110138e-06,1.0792600626339753e-06
0.015,2.6485e-09,1.3960027249753136e-07,3.6348172480194367e-07,5.834264542687482e-07,7.749810118901188e-07,9.269250492449225e-07,1.0326055014381403e-06,1.0908243666102062e-06
0.02,4.704807e-09,1.4099858575084508e-07,3.669747494222405e-07,5.892597564953026e-07,7.828107129430423e-07,9.363439938889737e-07,1.0431294884623377e-06,1.101957209842452e-06
0.025,7.348933e-09,1.4251879905457623e-07,3.703026462418609e-07,5.948683051298635e-07,7.903358169125138e-07,9.453968491814725e-07,1.0532448942015084e-06,1.112658031449318e-06
0.03,1.0581009999999999e-08,1.4422213892654767e-07,3.734583549999904e-07,6.002475536699291e-07,7.975532659093558e-07,9.540791959301797e-07,1.0629470444232145e-06,1.1229219191141564e-06
0.035,1.4398059999999999e-08,1.4617619934606336e-07,3.7644367595446816e-07,6.053954683614549e-07,8.044648563017046e-07,9.623910965697582e-07,1.0722357948207179e-06,1.1327485026327117e-06
0.04,1.8798730000000002e-08,1.4844652146029985e-07,3.7926585805108534e-07,6.103071423778423e-07,8.110720005796665e-07,9.703319928280554e-07,1.0811103610102204e-06,1.1421368002468514e-06
0.045,2.379201e-08,1.5109432359134467e-07,3.8193964912813797e-07,6.149756217138328e-07,8.173762891362713e-07,9.779015534405097e-07,1.0895700688157757e-06,1.1510859901690706e-06
0.05,2.9395919999999998e-08,1.5416870308931226e-07,3.8448208420654364e-07,6.193864251617035e-07,8.23373264550368e-07,9.850938608385282e-07,1.097608421436981e-06,1.159589495587582e-06
0.055,3.562425e-08,1.5771612501136812e-07,3.869232485558577e-07,6.235290813532795e-07,8.29062795383708e-07,9.919082953097315e-07,1.1052238728134381e-06,1.167645768745593e-06
0.06,4.2483170000000005e-08,1.617770570586585e-07,3.893032148764837e-07,6.273956560176766e-07,8.344461252106261e-07,9.983471151340554e-07,1.1124173314404876e-06,1.1752557885133586e-06
0.065,4.9980360000000004e-08,1.6638145588184332e-07,3.9166697163486616e-07,6.309779525016923e-07,8.39521414612571e-07,1.0044114710206052e-06,1.1191881628554064e-06,1.1824190329311396e-06
0.07,5.812222e-08,1.7154413146587444e-07,3.940578448101117e-07,6.342637876254587e-07,8.44278308671226e-07,1.0100963008214767e-06,1.125529158794387e-06,1.1891283893213443e-06
0.075,6.688352e-08,1.7727010558982476e-07,3.965202519709076e-07,6.372429515199439e-07,8.487023447023999e-07,1.0153948512654768e-06,1.1314312434003804e-06,1.195374775551261e-06
0.08,7.618428e-08,1.8357279147124568e-07,3.9911616592855034e-07,6.399266910412337e-07,8.527932674231081e-07,1.020316827265119e-06,1.136901924694479e-06,1.20116548706625e-06
0.085,8.592565000000001e-08,1.9046334716399992e-07,4.019145879120643e-07,6.42339547812703e-07,8.565562378021953e-07,1.0248791110220979e-06,1.1419564185276995e-06,1.2065152069004546e-06
0.09,9.606661000000001e-08,1.9793774136723542e-07,4.049780657494044e-07,6.445078114825875e-07,8.599901401159329e-07,1.0290932517616738e-06,1.146605600062954e-06,1.2114338454583704e-06
0.095,1.0666609999999999e-07,2.0596253494234023e-07,4.083446101770941e-07,6.46443549498888e-07,8.630718668540937e-07,1.032948668158781e-06,1.150839678349225e-06,1.2159101282750343e-06
0.1,1.178217e-07,2.1448360069399668e-07,4.1202846751877816e-07,6.481478869154719e-07,8.657602566954403e-07,1.03641531779991e-06,1.1546313011055325e-06,1.2199146646777515e-06
0.105,1.295809e-07,2.2348984067275295e-07,4.160764726238513e-07,6.496694169424651e-07,8.680558080116391e-07,1.0395020422570514e-06,1.1579942672050697e-06,1.223458704583877e-06
0.11,1.419405e-07,2.329684762354548e-07,4.205201220603464e-07,6.510566033060455e-07,8.699551366858245e-07,1.0422095949969724e-06,1.1609367886832858e-06,1.2265475351950475e-06
0.115,1.549098e-07,2.4292481383251787e-07,4.253944781034556e-07,6.523754370433672e-07,8.714712284405302e-07,1.044549506890559e-06,1.1634803847034678e-06,1.229199604827713e-06
0.12,1.685454e-07,2.5333320608175397e-07,4.3068850263365886e-07,6.536575511510333e-07,8.725844063960366e-07,1.0464938600616333e-06,1.1656094250088325e-06,1.2313963934739468e-06
0.125,1.829071e-07,2.641883849816601e-07,4.36394570206389e-07,6.54947229334766e-07,8.732921852533136e-07,1.04802430191956e-06,1.167319629405095e-06,1.2331313319837275e-06
0.13,1.980183e-07,2.755126340129444e-07,4.4251640135599846e-07,6.563061536019972e-07,8.736168249056794e-07,1.0491392301537346e-06,1.1686244676196142e-06,1.2344166996320993e-06
0.135,2.1389109999999998e-07,2.8732735628579184e-07,4.4904377948764624e-07,6.577841039296878e-07,8.735785565741543e-07,1.0498271609512832e-06,1.1695274755747777e-06,1.2352564732084737e-06
0.14,2.305233e-07,2.996432323785188e-07,4.5594654307542363e-07,6.594087916085434e-07,8.731873814397385e-07,1.0500592403353927e-06,1.1700134944575541e-06,1.2356380893524143e-06
0.145,2.4784e-07,3.1248409345181995e-07,4.632031841242268e-07,6.612105403989299e-07,8.724690007400492e-07,1.0498164747545701e-06,1.1700744921461645e-06,1.2355587294222484e-06
0.15,2.656668e-07,3.258913872313925e-07,4.708137065027951e-07,6.632312365055193e-07,8.714742994278149e-07,1.0491010554963176e-06,1.1697194527467856e-06,1.2350355574176984e-06
0.155,2.837586e-07,3.398850438627063e-07,4.787713558694434e-07,6.654923204156768e-07,8.702469977049677e-07,1.0479062694554872e-06,1.168942924105607e-06,1.2340744338867032e-06
0.16,3.019012e-07,3.545218140663501e-07,4.871320834401662e-07,6.680615555768796e-07,8.688890721655587e-07,1.0462844939512197e-06,1.1677918432829524e-06,1.2327366748692876e-06
0.165,3.201163e-07,3.6979746690610837e-07,4.959231947401804e-07,6.70960953888462e-07,8.674661428830087e-07,1.0442552928911495e-06,1.1662727550871628e-06,1.2310459205029164e-06
0.17,3.3867420000000004e-07,3.8558616638673885e-07,5.050746367265064e-07,6.741014307333096e-07,8.659381714870619e-07,1.0417387903130803e-06,1.1642846938307918e-06,1.2289203543627348e-06
0.17500000000000002,3.577964e-07,4.018182225451435e-07,5.145787195043597e-07,6.774498215695963e-07,8.643217800059124e-07,1.0387204741379402e-06,1.1617840471798065e-06,1.2263366154369129e-06
0.18,3.775572e-07,4.1853975095120183e-07,5.245390723112671e-07,6.810847664311328e-07,8.62741995803527e-07,1.0353048944399657e-06,1.158838984087862e-06,1.22338301314728e-06
0.185,3.980623e-07,4.356910396696374e-07,5.349436726880242e-07,6.849743183048537e-07,8.612065583180708e-07,1.0314909992525188e-06,1.1554061227596767e-06,1.220034729855595e-06
0.19,4.194415e-07,4.5322945192205324e-07,5.457784511997162e-07,6.890937993390158e-07,8.597212257683281e-07,1.0272875179192038e-06,1.1514477877265037e-06,1.2162694439284465e-06
0.195,4.417457e-07,4.7117111161523726e-07,5.57063115365876e-07,6.934646111794086e-07,8.583273698390746e-07,1.0227497338620545e-06,1.1469711424871807e-06,1.2121047897104278e-06
0.2,4.649737e-07,4.895396173268835e-07,5.687998014107995e-07,6.981032063156511e-07,8.570512089407177e-07,1.0179269988039718e-06,1.1419783578004542e-06,1.2075469251928094e-06
0.20500000000000002,4.891309e-07,5.083741759802337e-07,5.809841630496092e-07,7.030303556919757e-07,8.559145763170094e-07,1.0128710740112469e-06,1.1364776757445162e-06,1.2026001986668223e-06
0.21,5.142614e-07,5.277168683722514e-07,5.935966407764741e-07,7.082592123898587e-07,8.549253911145675e-07,1.0076237543996775e-06,1.1304735892235416e-06,1.197256268660439e-06
0.215,5.403837e-07,5.475737819970711e-07,6.065672420373124e-07,7.137562207776711e-07,8.54041495032418e-07,1.002177761467762e-06,1.1239298914168402e-06,1.1914565511530453e-06
0.22,5.672513e-07,5.67956568449331e-07,6.198234848280278e-07,7.194846079813683e-07,8.532173791791611e-07,9.965207657382277e-07,1.1168152755157061e-06,1.1851377743100241e-06
0.225,5.942435999999999e-07,5.890117484790487e-07,6.334394310105841e-07,7.255468363415985e-07,8.525502411905694e-07,9.907792512378082e-07,1.1092480767243396e-06,1.1783772955094741e-06
0.23,6.207727e-07,6.108932608683303e-07,6.475407114812503e-07,7.320804578312667e-07,8.521792090365477e-07,9.85116190446041e-07,1.1013939696767766e-06,1.1712919739282263e-06
0.23500000000000001,6.467807e-07,6.335324787386113e-07,6.620939560772286e-07,7.390410584381314e-07,8.520697066333054e-07,9.795146981066942e-07,1.0932486535961816e-06,1.1638225559487408e-06
0.24,6.725956e-07,6.567290517306106e-07,6.769865555973991e-07,7.462842256673119e-07,8.520939860968922e-07,9.738589915189342e-07,1.0847169601675902e-06,1.1558149495210594e-06
0.245,6.985069e-07,6.804522437780653e-07,6.92304636116232e-07,7.538523182119473e-07,8.52314770504687e-07,9.68219568531994e-07,1.0758956154933669e-06,1.147305535127907e-06
0.25,7.24816e-07,7.046668861451028e-07,7.081418734071039e-07,7.617923646122175e-07,8.527996444056156e-07,9.626696704828302e-07,1.0668869702190464e-06,1.1383376304402055e-06
