time,Y_ground_disp,Y_floor_1_abs,Y_floor_2_abs,Y_floor_3_abs,Y_floor_4_abs,Y_floor_5_abs,Y_floor_6_abs,Y_floor_7_abs
0.0,0.0,1.9849413053787744e-08,5.158947774654919e-08,8.28836511591774e-08,1.1036626718893614e-07,1.3236570130830372e-07,1.4780556743985713e-07,1.5638695991293353e-07
0.005,4.664754999999999e-10,1.948414946681864e-08,5.130648474013777e-08,8.270907928076893e-08,1.1028296010429387e-07,1.3235619749120894e-07,1.478478050340972e-07,1.56457976197302e-07
0.01,1.866668e-09,1.9196892007512595e-08,5.093904709293281e-08,8.243550391143456e-08,1.100656853459232e-07,1.321879639608406e-07,1.47713711763848e-07,1.5634293998908228e-07
0.015,4.20272e-09,1.9151658469527193e-08,5.049029768419804e-08,8.208730798567907e-08,1.0973763867992028e-07,1.3188337134217528e-07,1.474255837929557e-07,1.5606402305721474e-07
0.02,7.47594e-09,1.9512371959291807e-08,4.994339325998494e-08,8.165354827301224e-08,1.0929413671453325e-07,1.3143524443292822e-07,1.4697644332448297e-07,1.5561409513979377e-07
0.025,1.168402e-08,2.0460267510903144e-08,4.932006963593778e-08,8.112882297138562e-08,1.0874672851350073e-07,1.3085119480824074e-07,1.4637411844678697e-07,1.55000891632351e-07
0.03,1.682434e-08,2.215017009546669e-08,4.867065108098706e-08,8.049274861631231e-08,1.0810115006535617e-07,1.301335052301272e-07,1.4562043164603373e-07,1.5422634517933728e-07
0.035,2.290174e-08,2.470247271523505e-08,4.808653699684525e-08,7.972356946875315e-08,1.0736379174611644e-07,1.2928910611981223e-07,1.4472033649058077e-07,1.5329583354575572e-07
0.04,2.993179e-08,2.8189216619961514e-08,4.7687638666447575e-08,7.879887146069428e-08,1.0653064016592209e-07,1.2832241846910422e-07,1.4367428196421795e-07,1.522104475040992e-07
0.045,3.793169e-08,3.263953791430912e-08,4.7612902500465135e-08,7.770885058452968e-08,1.0558727219089862e-07,1.2723795582322975e-07,1.4248134381202792e-07,1.5096970280631762e-07
0.05,4.6903279999999996e-08,3.805493312338097e-08,4.8008836386996004e-08,7.64711069997688e-08,1.0451285148399552e-07,1.2604382836843516e-07,1.411446399675038e-07,1.4957620276578637e-07
0.055,5.683434e-08,4.442494675648612e-08,4.9017387069442027e-08,7.514143297322964e-08,1.0328652328319213e-07,1.2475350318528465e-07,1.396763078230441e-07,1.4803974095393468e-07
0.06,6.771149000000001e-08,5.172092323565636e-08,5.074509899545044e-08,7.379708433828443e-08,1.0187475735542264e-07,1.2336448953255716e-07,1.3807994940518345e-07,1.463591349417961e-07
0.065,7.951032e-08,5.991720631189932e-08,5.3267480578034464e-08,7.254406141011984e-08,1.0025113662316429e-07,1.2186705293365283e-07,1.3636241367886165e-07,1.445341701037478e-07
0.07,9.218949e-08,6.900687594277517e-08,5.6639121650869775e-08,7.151838478066139e-08,9.841631737904686e-08,1.2025327047211148e-07,1.345437754788378e-07,1.4257693041219864e-07
0.075,1.057218e-07,7.898707918035572e-08,6.088568166321937e-08,7.086003678272153e-08,9.639286958735391e-08,1.1850416706878957e-07,1.3264208674896178e-07,1.4049924046606793e-07
0.08,1.20125e-07,8.984977229372794e-08,6.60046511146288e-08,7.069218414725746e-08,9.422261702887947e-08,1.1658511966594163e-07,1.3066262426925663e-07,1.3830564368589673e-07
0.085,1.354451e-07,1.0158092010884734e-07,7.197272198523254e-08,7.110936877579745e-08,9.196615933844698e-08,1.1445056529750952e-07,1.2859331336971325e-07,1.3599283493685788e-07
0.09,1.517121e-07,1.1418586445497692e-07,7.877658152054876e-08,7.219461537436557e-08,8.972248377954065e-08,1.120754253167982e-07,1.2642544032752512e-07,1.3357350705912167e-07
0.095,1.6892970000000001e-07,1.2767980748821812e-07,8.641119253022824e-08,7.400998283903121e-08,8.761353240716564e-08,1.094559310844519e-07,1.241447998513711e-07,1.3106848842929736e-07
0.1,1.870953e-07,1.4207415308584904e-07,9.487294860975297e-08,7.658820848274885e-08,8.576307140186711e-08,1.0660588066165094e-07,1.2172185687541688e-07,1.284946915126493e-07
0.105,2.062105e-07,1.5737600215841949e-07,1.0416276179303205e-07,7.994030389727765e-08,8.428773663884148e-08,1.035626851632074e-07,1.1911733165770563e-07,1.2586482076156002e-07
0.11,2.2627380000000002e-07,1.7359120599806627e-07,1.1428811617463983e-07,8.406624932084614e-08,8.329092584446413e-08,1.0039084611379071e-07,1.162917454117184e-07,1.231877248485255e-07
0.115,2.472782e-07,1.90727908516146e-07,1.2526448634072672e-07,8.896628930202243e-08,8.286045837997166e-08,9.718204718668658e-08,1.1321756102517646e-07,1.2046927155097296e-07
0.12,2.692387e-07,2.0880238737721558e-07,1.3711826673318776e-07,9.46523791369902e-08,8.307170537831957e-08,9.405344015620652e-08,1.0989345148447959e-07,1.1771523462137857e-07
0.125,2.922229e-07,2.2780680737798515e-07,1.4984992988101397e-07,1.011174167493153e-07,8.395449575374588e-08,9.110399609047514e-08,1.0631747206315711e-07,1.148953061584104e-07
0.13,3.1628740000000003e-07,2.477205316253941e-07,1.6343503984759468e-07,1.0834000481145898e-07,8.550074480092822e-08,8.840856952782025e-08,1.0249530200997106e-07,1.1194660876769854e-07
0.135,3.4137600000000005e-07,2.685772802999689e-07,1.7788871558597746e-07,1.163481733667524e-07,8.773532103173762e-08,8.607531337176697e-08,9.850623242549137e-08,1.0884098432827533e-07
0.14,3.67322e-07,2.904066590386909e-07,1.932222748730552e-07,1.2516863133248083e-07,9.067478397781842e-08,8.419375397513924e-08,9.445230300810112e-08,1.0554198338650349e-07
0.145,3.939334e-07,3.132359643926949e-07,2.094695220108072e-07,1.3484322494368375e-07,9.435249999706944e-08,8.285403700867225e-08,9.04707831877183e-08,1.0203104885408932e-07
0.15,4.2111630000000003e-07,3.3704956576618876e-07,2.26664579961811e-07,1.4540064521563736e-07,9.879522844566851e-08,8.212308352454438e-08,8.669715721343241e-08,9.828816459649688e-08
0.155,4.489534e-07,3.617684618205342e-07,2.44816687173941e-07,1.5683447693943412e-07,1.0400082710575435e-07,8.202636497425062e-08,8.323025309755464e-08,9.427585219001152e-08
0.16,4.776202e-07,3.87274145180336e-07,2.6390091186956026e-07,1.69107029062218e-07,1.0993771535922044e-07,8.255354160290105e-08,8.012157307479782e-08,8.99454682705958e-08
0.165,5.072248e-07,4.135153205379371e-07,2.839253080310414e-07,1.8223179547385576e-07,1.166229101714335e-07,8.374169710355216e-08,7.74463617388198e-08,8.532052767880996e-08
0.17,5.377801e-07,4.4049408621353255e-07,3.0489836129130873e-07,1.9624762131192759e-07,1.2409560871163987e-07,8.56505125066278e-08,7.527341412766677e-08,8.047208662213212e-08
0.17500000000000002,5.692795e-07,4.6822119544557585e-07,3.267873206651693e-07,2.111725813909615e-07,1.3237513554123707e-07,8.831741312873241e-08,7.362247111248969e-08,7.547434219890266e-08
0.18,6.017192e-07,4.967248186816309e-07,3.4953991731498414e-07,2.2701413459661277e-07,1.4147792901051684e-07,9.176866873813698e-08,7.248409316498809e-08,7.041603811969808e-08
0.185,6.350773e-07,5.26059722236124e-07,3.731137066236308e-07,2.437838371082858e-07,1.5143905866436284e-07,9.603456407824724e-08,7.184758490697622e-08,6.54150911056133e-08
0.19,6.693724e-07,5.563185658442286e-07,3.9751162048243335e-07,2.6151893835142427e-07,1.6233743690343684e-07,1.0117070614656605e-07,7.173572853622744e-08,6.063767876422985e-08
0.195,7.048051e-07,5.875492089923452e-07,4.2271541580590193e-07,2.802078118589266e-07,1.7421888794907476e-07,1.0718193403087563e-07,7.213963991719864e-08,5.6217679084271686e-08
0.2,7.416701e-07,6.196961405070326e-07,4.486130954391227e-07,2.997211825386689e-07,1.870177822357984e-07,1.13950395823974e-07,7.295312930741324e-08,5.217800055867935e-08
0.20500000000000002,7.799510999999999e-07,6.52794095595294e-07,4.751687024903639e-07,3.1999320496320746e-07,2.0072461787340244e-07,1.214141071265563e-07,7.415231785186453e-08,4.860099542825664e-08
0.21,8.191626e-07,6.870228224776027e-07,5.025007131595675e-07,3.411023048664549e-07,2.1545545924199624e-07,1.2964899445459067e-07,7.587424914079801e-08,4.5702205877422687e-08
0.215,8.58729e-07,7.224958924050198e-07,5.30742328546965e-07,3.631219457939613e-07,2.3129531321527518e-07,1.3872350286555138e-07,7.826490662257782e-08,4.3677535311065686e-08
0.22,8.984174999999999e-07,7.591423981305187e-07,5.599712731708893e-07,3.86047165996553e-07,2.482184269139812e-07,1.4862687546610552e-07,8.139938608376719e-08,4.262577535447178e-08
0.225,9.384251999999999e-07,7.967606071997813e-07,5.90239838215206e-07,4.09842539918909e-07,2.661300990485788e-07,1.5931431303964627e-07,8.531935884893599e-08,4.25905969470235e-08
0.23,9.791259e-07,8.350738626246431e-07,6.215440368959499e-07,4.3444581247626924e-07,2.848676686486797e-07,1.7070498700116033e-07,9.002550991028977e-08,4.355860464215502e-08
